input1	input2	input3	label
is	With	With the help of others, anything is possible!	is the help of others, anything With possible!
is	Lily's	It is Lily's mom.	It Lily's is mom.
her	dad	She went to the park with her mom and dad.	She went to the park with dad mom and her.
objects	around	Lily learned to be careful around sharp objects like needles.	Lily learned to be careful objects sharp around like needles.
like	crying	Anna felt like crying.	Anna felt crying like.
furry	lion	Once upon a time, there was a furry lion.	Once upon a time, there was a lion furry.
Lily	Ben	Lily and Ben were curious.	Ben and Lily were curious.
her	hugged	He hugged her.	He her hugged.
the	it	Maybe it is still on the road.	Maybe the is still on it road.
to	run	Tom did not like to play or run.	Tom did not like run play or to.
big	opinion	Benny had a big opinion about carrots, he loved them!	Benny had a opinion big about carrots, he loved them!
away	runs	He runs away with Lily.	He away runs with Lily.
listen	Ben	Ben does not listen.	listen does not Ben.
Sophie's	But	But then, Sophie's dad came over to her.	Sophie's then, But dad came over to her.
is	favorite	This is one of their favorite stories about Rudolph!	This favorite one of their is stories about Rudolph!
The	little	The little girl smiled.	little The girl smiled.
on	loved	She loved the feeling of the rain on her skin.	She on the feeling of the rain loved her skin.
to	Tim	Tim learned to listen next time.	to learned Tim listen next time.
kitchen	cereals	She went to the kitchen and saw two cereals.	She went to the cereals and saw two kitchen.
juice	Timmy	Timmy loved to drink juice.	juice loved to drink Timmy.
nodded	The	The face smiled and nodded its head.	nodded face smiled and The its head.
in	Tom	Tom and Lily are playing in the park.	in and Lily are playing Tom the park.
dad	His	His dad laughed.	dad His laughed.
when	from	She fell when she ran from the dog.	She fell from she ran when the dog.
sky	Together	Together, they wove a beautiful rainbow pattern into the sky.	sky, they wove a beautiful rainbow pattern into the Together.
went	day	One day, the two friends went to the opera.	One went, the two friends day to the opera.
out	were	Sparkles were shooting out from the town and everyone cheered.	Sparkles out shooting were from the town and everyone cheered.
kind	loved	The prince was very kind and loved to help others.	The prince was very loved and kind to help others.
listen	mom	Anna and Ben and Lily listen to their mom.	Anna and Ben and Lily mom to their listen.
discovering	things	Mary took many steps forward, discovering new places and things.	Mary took many steps forward, things new places and discovering.
felt	sad	Ben felt sad and angry.	Ben sad felt and angry.
always	Jack	Jack always remembered.	always Jack remembered.
of	was	Finny was so proud of his find.	Finny of so proud was his find.
wanted	to	They wanted to get out of the cave.	They to wanted get out of the cave.
were	Sam	Tim and Sam were friends.	Tim and were Sam friends.
be	to	He liked to be a knight and defend it.	He liked be to a knight and defend it.
ran	grab	He ran after Lily and tried to grab the net.	He grab after Lily and tried to ran the net.
always	encouraging	They were always encouraging each other.	They were encouraging always each other.
They	noise	They hear a noise.	noise hear a They.
is	It	It is a dress.	is It a dress.
™	Her	Her grandma said, â€œItâ€™s my birthday party!	™ grandma said, â €œItâ €Her s my birthday party!
well	didn't	Jack felt sad because he knew he didn't behave well.	Jack felt sad because he knew he well behave didn't.
upon	figure	Once upon a time there was a lucky figure.	Once figure a time there was a lucky upon.
their	room	She showed them their room.	She showed them room their.
work	were	The girls were so proud of their work.	The girls work so proud of their were.
it	said	â€œLetâ€™s go and look at it,â€ said Mandy.	â €œLetâ €™ s go and look at said, â €it Mandy.
He	and	He shivered and quickly looked back.	and shivered He quickly looked back.
smiled	and	Jennifer calmed down and smiled.	Jennifer calmed down smiled and.
a	barber	He was a very bad barber.	He was barber very bad a.
any	do	They do not want any gum.	They any not want do gum.
They	to	They want to have their own way.	to want They have their own way.
seen	him	Alex had never seen him from before.	Alex had never him seen from before.
nearby	Suddenly	Suddenly, he noticed something shining in a nearby bush.	nearby, he noticed something shining in a Suddenly bush.
upon	John	Once upon a time, there was a boy called John.	Once John a time, there was a boy called upon.
hit	and	He threw the spear at the rabbit and hit it.	He threw the spear at the rabbit hit and it.
junk	in	They find a lot of junk in the yard.	They find a lot of in junk the yard.
in	it	Finally, they found it in a park.	Finally, they found in it a park.
and	Jane	Jane nodded and smiled.	and nodded Jane smiled.
are	and	Sara and Tom say they are sorry.	Sara are Tom say they and sorry.
takes	the	He thanks the duck and takes his ball.	He thanks takes duck and the his ball.
She	inside	She quickly took off the hat and ran inside.	inside quickly took off the hat and ran She.
to	loved	She loved to explore and play outside.	She to loved explore and play outside.
singing	her	Lily's mom heard her singing and came into the room.	Lily's mom heard singing her and came into the room.
a	near	He held the magnet near a metal spoon.	He held the magnet a near metal spoon.
balloon	starts	The balloon starts to rise in the air.	The starts balloon to rise in the air.
He	thought	He thought to himself.	thought He to himself.
with	his	One day, Tom was at the park with his Mom.	One day, Tom was at the park his with Mom.
mouth	licks	He licks his mouth.	He mouth his licks.
have	you	You should be grateful for what you have.	You should be grateful for what have you.
cry	to	Lily was sad and started to cry.	Lily was sad and started cry to.
also	to	But he also likes to play with his stand.	But he to likes also play with his stand.
cold	was	He was scared and cold.	He cold scared and was.
see	wave	They did not see the big wave coming.	They did not wave the big see coming.
sad	is	Anna is sad.	Anna sad is.
but	hungry	She thought it was nice, but she was hungry.	She thought it was nice, hungry she was but.
box	It	It seemed to be a glass box.	box seemed to be a glass It.
the	of	They saw the pile of leaves gone.	They saw of pile the leaves gone.
took	was	He took a big bite and was very satisfied.	He was a big bite and took very satisfied.
she	had	She was very excited as she had a special surprise.	She was very excited as had she a special surprise.
big	He	He was big and round.	big was He and round.
very	horses	She loved horses very much.	She loved very horses much.
Sammy	cautiously	Sammy cautiously nodded.	cautiously Sammy nodded.
giggled	out	Lisa giggled and took out her camera.	Lisa out and took giggled her camera.
sad	you	Lazy makes you sad and grumpy.	Lazy makes sad you and grumpy.
and	scolded	She scolded Ben and told him to go away.	She and Ben scolded told him to go away.
get	They	They get to the slide first.	get They to the slide first.
at	look	Tim and Tom look at each other.	Tim and Tom at look each other.
stories	The	The lady told him stories and they laughed together.	stories lady told him The and they laughed together.
of	and	Lily and Ben had lots of fun drawing together.	Lily of Ben had lots and fun drawing together.
and	angry	They were angry and making loud noises.	They were and angry making loud noises.
and	smiled	They looked at their work and smiled.	They looked at their work smiled and.
The	felt	The beautiful bird felt sad that her magazine was gone.	felt beautiful bird The sad that her magazine was gone.
Lily	and	Lily and Spot played in the grass all day long.	and Lily Spot played in the grass all day long.
both	they	And they both enjoyed their soup.	And both they enjoyed their soup.
front	saw	She saw a big, furry animal in front of her.	She front a big, furry animal in saw of her.
you	love	I love you too.	I you love too.
note	sees	She sees the note.	She note the sees.
very	It	It is very cute.	very is It cute.
They	the	They liked to play together in the park.	the liked to play together in They park.
They	push	They pull and push.	push pull and They.
Milo	saw	Milo woke up, and saw Lily crying.	saw woke up, and Milo Lily crying.
to	wanted	She wanted to succeed.	She to wanted succeed.
everywhere	dark	Once upon a time, everywhere was dark.	Once upon a time, dark was everywhere.
are	fighting	Why are you yelling and fighting?	Why fighting you yelling and are?
wait	couldn't	Toby couldn't wait!	Toby wait couldn't!
and	right	He tried hard, and finally got the rhythm right.	He tried hard, right finally got the rhythm and.
was	and	He was deaf and roared at her.	He and deaf was roared at her.
are	naughty	You are very naughty!	You naughty very are!
to	Bob	Bob was happy to help.	to was happy Bob help.
girl	a	Once there was a little girl named Bella.	Once there was girl little a named Bella.
wise	proud	The wise old man was so proud of his masterpiece.	The proud old man was so wise of his masterpiece.
and	picked	She picked up her ball and threw it to Spot.	She and up her ball picked threw it to Spot.
he	to	So, he decided to make a costume.	So, to decided he make a costume.
€	her	Her mom smiled at her and said, â€œSee?	Her mom smiled at €and said, â her œSee?
it	wanted	They wanted to climb it.	They it to climb wanted.
They	a	They set up a tent in the woods.	a set up They tent in the woods.
make	to	She did not want to make her mom sad.	She did not want make to her mom sad.
beautiful	were	They were so beautiful.	They beautiful so were.
and	pages	They liked to play with rocks and pages.	They liked to play with rocks pages and.
That	is	That is very bad!	is That very bad!
has	One	One day, Tom has a gift for Anna.	has day, Tom One a gift for Anna.
happy	and	She was so happy and yelled out for joy!	She was so and happy yelled out for joy!
funny	and	Inside, they found some candy and a funny toy!	Inside, they found some candy funny a and toy!
ran	and	She ran over to him and told him another joke.	She and over to him ran told him another joke.
The	entered	The little boy nodded and watched as his mom entered.	entered little boy nodded and watched as his mom The.
voice	Suddenly	Suddenly, the fox heard a deep voice.	voice, the fox heard a deep Suddenly.
going	weren't	They worked hard, but things weren't going very well.	They worked hard, but things going weren't very well.
liked	the	Mia liked to play outside in the sun.	Mia the to play outside in liked sun.
something	learned	She learned something new and had fun.	She something learned new and had fun.
You	are	You are good at marking.	are You good at marking.
friendly	was	John liked seeing how friendly the church was.	John liked seeing how was the church friendly.
take	ball	It wanted to take their ball.	It wanted to ball their take.
Jimmy	The	The butterfly flew away but Jimmy kept staring.	Jimmy butterfly flew away but The kept staring.
happened	Finally	She stirred and stirred until Finally, something happened.	She stirred and stirred until happened, something Finally.
floor	to	Tom wanted to play with his car on the floor.	Tom wanted floor play with his car on the to.
The	shell	The little girl was excited to have her special shell.	shell little girl was excited to have her special The.
is	man	The man is angry.	The is man angry.
he	couldn't	Max tried to pull himself free, but he couldn't.	Max tried to pull himself free, but couldn't he.
very	was	Lucy was very sad and cried.	Lucy very was sad and cried.
was	shiny	It was weird and shiny.	It shiny weird and was.
was	sad	The cat was very sad.	The cat sad very was.
smiled	bounced	Lily smiled and bounced on her ball.	Lily bounced and smiled on her ball.
He	be	He did not want to be friends with Jill anymore.	be did not want to He friends with Jill anymore.
came	and	He came out of his doghouse and licked her hand.	He and out of his doghouse came licked her hand.
their	hard	Spot and Whiskers smiled, proud of their hard work.	Spot and Whiskers smiled, proud of hard their work.
watching	sea	She enjoyed playing by the sea and watching the waves.	She enjoyed playing by the watching and sea the waves.
and	saw	He turned and saw a little girl standing there.	He turned saw and a little girl standing there.
fish	Tom's	Tom's mom gave Snow some fish to eat.	fish mom gave Snow some Tom's to eat.
with	someone	He said he wanted to share his joy with someone.	He said he wanted to share his joy someone with.
his	head	John slowly turned his head and saw a large bird.	John slowly turned head his and saw a large bird.
and	faces	She takes a wet cloth and wipes their faces.	She takes a wet cloth faces wipes their and.
Lily	He	He looked at his friend Lily.	Lily looked at his friend He.
happy	She	She is happy.	happy is She.
wasn't	worried	She wasn't worried anymore.	She worried wasn't anymore.
some	competitive	But some of her friends were competitive too.	But competitive of her friends were some too.
down	hands	She claps her hands and jumps up and down.	She claps her down and jumps up and hands.
flowers	can	We can decorate it with the flowers.	We flowers decorate it with the can.
pretty	to	She had a pretty blouse that she liked to wear.	She had a to blouse that she liked pretty wear.
But	and	But now, everything was gone and Timmy was sad.	and now, everything was gone But Timmy was sad.
snowmen	snow	They make snowballs and snowmen and snow forts.	They make snowballs and snow and snowmen forts.
The	half	The dinosaur broke in half.	half dinosaur broke in The.
his	He	He did not want to lose his wool.	his did not want to lose He wool.
went	her	So, Lily and her friends went up to the roof.	So, Lily and went friends her up to the roof.
She	screamed	She screamed and cried.	screamed She and cried.
She	back	She carried the mug back to the table.	back carried the mug She to the table.
already	had	Her brother had already passed away.	Her brother already had passed away.
They	each	They each picked one.	each They picked one.
rail	started	He started by gathering shiny, thick rail to make it.	He rail by gathering shiny, thick started to make it.
He	sitting	He saw a bench where Lila's mom was sitting.	sitting saw a bench where Lila's mom was He.
diamond	to	The group decided to try and get the diamond back.	The group decided diamond try and get the to back.
mess	He	He made a big mess.	mess made a big He.
didn't	care	But Lily didn't care.	But Lily care didn't.
moving	Inside	Inside the school, Lucy saw a big moving file.	moving the school, Lucy saw a big Inside file.
stirred	soup	She stirred the soup.	She soup the stirred.
watered	plants	Mommy watered the plants.	Mommy plants the watered.
too	the	They hope the owl will like his cake too.	They hope too owl will like his cake the.
happy	could	Bow was happy he could help his new friend.	Bow was could he happy help his new friend.
park	saw	One day, she saw a pony in the park.	One day, she park a pony in the saw.
They	him	They asked him if he wanted to play with them.	him asked They if he wanted to play with them.
basket	man	The man helps them get in the basket.	The basket helps them get in the man.
to	visit	She loved to visit her grandma's house.	She loved visit to her grandma's house.
makes	a	It makes a loud noise.	It a makes loud noise.
books	to	She loved to read books every day.	She loved books read to every day.
wind	harder	The wind blew harder.	The harder blew wind.
They	and	They laugh and giggle.	and laugh They giggle.
lab	the	She wanted to stay forever and admire the lab.	She wanted to stay forever and admire lab the.
at	friends	The friends looked at each other in confusion.	The at looked friends each other in confusion.
to	walked	He walked to the armchair and peeked behind it.	He to walked the armchair and peeked behind it.
eyes	closed	She sat down on the grass and closed her eyes.	She sat down on the grass and eyes her closed.
wanted	his	He wanted to sleep in his bed.	He his to sleep in wanted bed.
felt	scared	Lily felt dizzy and scared.	Lily scared dizzy and felt.
listened	tiger	The tiger listened and left.	The listened tiger and left.
went	They	They had shrunk when they went through the hole.	went had shrunk when they They through the hole.
was	welcome	It was a welcome sign.	It welcome a was sign.
Suddenly	scary	Suddenly, a big, scary creature appeared!	scary, a big, Suddenly creature appeared!
tried	John	John tried again.	tried John again.
on	accidentally	She accidentally spilled it on the carpet.	She on spilled it accidentally the carpet.
and	They	They nod and hug.	and nod They hug.
was	late	But it was too late.	But it late too was.
hill	she	Sarah ran up the hill as fast as she could.	Sarah ran up the she as fast as hill could.
He	saw	He saw a rock nearby and picked it up.	saw He a rock nearby and picked it up.
smiled	goodbye	The girl smiled and waved goodbye.	The girl goodbye and waved smiled.
on	a	They packed their bags and went on a camping vacation.	They packed their bags and went a on camping vacation.
smiled	him	She smiled and hugged him tight.	She him and hugged smiled tight.
sad	sorry	She felt sad and sorry.	She felt sorry and sad.
â	you	The mouse asked him, â€œWhat do you want?	The mouse asked him, you €œWhat do â want?
She	were	She didn't like lectures and thought they were boring.	were didn't like lectures and thought they She boring.
thought	They	They thought they were lucky and smart.	thought They they were lucky and smart.
looks	Ben	Ben thinks it looks fun.	looks thinks it Ben fun.
She	did	She did not want to play with Tom anymore.	did She not want to play with Tom anymore.
then	But	But then, something bad happens.	then But, something bad happens.
be	to	He knew it was better to be kind.	He knew it was better be to kind.
Jack	One	One day, she met a little boy named Jack.	Jack day, she met a little boy named One.
is	worried	Mom is worried.	Mom worried is.
want	the	I want the fish.	I the want fish.
park	They	They like to play in the park.	park like to play in the They.
the	what	Timmy asked his mommy what was in the mail.	Timmy asked his mommy the was in what mail.
with	play	Tim loved to play outside with his toys.	Tim loved to with outside play his toys.
very	Max	Max was very troubled because he lost his bone.	very was Max troubled because he lost his bone.
paper	Timmy	Timmy spread paint all over his paper.	paper spread paint all over his Timmy.
card	a	Sara picks a card.	Sara picks card a.
was	it	But it was too hard.	But was it too hard.
all	happy	Everyone was happy and they all lived happily ever after.	Everyone was all and they happy lived happily ever after.
was	small	She was very small and her wings were green.	She small very was and her wings were green.
They	swings	They take their books and run back to the swings.	swings take their books and run back to the They.
How	out	How could it get out of this?	out could it get How of this?
and	gave	Mom said yes, and gave her the needle.	Mom said yes, gave and her the needle.
stuck	it	It was stuck so tightly that it couldn't move.	It was it so tightly that stuck couldn't move.
learned	new	Poppy was happy because she had learned something new today.	Poppy was happy because she had new something learned today.
a	looked	He looked around and saw a crystal!	He a around and saw looked crystal!
The	him	The cat caught the little bird and ate him up.	him cat caught the little bird and ate The up.
not	anymore	Tim was not hungry anymore.	Tim was anymore hungry not.
a	Once	Once there was a skeleton.	a there was Once skeleton.
not	king	Everyone laughed at this, but the king was not amused.	Everyone laughed at this, but the not was king amused.
They	the	They do not share the berries.	the do not share They berries.
He	and	He reached down and found a gold hook!	and reached down He found a gold hook!
friend	him	One day, Timmy's friend came to visit him.	One day, Timmy's him came to visit friend.
did	not	Tom did not like exams.	Tom not did like exams.
worked	the	They worked together and built the fence.	They the together and built worked fence.
He	them	He gives them the balloon.	them gives He the balloon.
flowers	blue	It was white and blue and had flowers on it.	It was white and flowers and had blue on it.
Vroom	vroom	Vroom, vroom, beep, beep!	vroom, Vroom, beep, beep!
many	and	There were many people and noises.	There were and people many noises.
things	liked	He liked modern things.	He things modern liked.
the	say	They say they are ready for the baby.	They the they are ready for say baby.
wagged	tail	Spot barked and wagged his tail.	Spot barked and tail his wagged.
It	many	It broke into many pieces.	many broke into It pieces.
a	wide	Bob lived in a wide forest.	Bob lived in wide a forest.
cat	playing	The cat was playing with a ball.	The playing was cat with a ball.
Then	knew	Then she knew the way home.	knew she Then the way home.
hat	him	She gave him a yellow hat with a bow.	She gave hat a yellow him with a bow.
couldn't	them	He tried and tried, but he just couldn't tie them.	He tried and tried, but he just them tie couldn't.
was	first	She was very brave and put her toe in first!	She first very brave and put her toe in was!
best	that	He was scared that he had hurt his best friend.	He was scared best he had hurt his that friend.
knock	build	They liked to build towers and knock them down.	They liked to knock towers and build them down.
They	see	They see many pictures and words on the screen.	see They many pictures and words on the screen.
was	very	He was very sad.	He very was sad.
try	liked	He liked to try new things.	He try to liked new things.
Inch	nodded	Inch nodded and started to help.	nodded Inch and started to help.
Tim	and	One day, Tim and Sam had a plan.	One day, and Tim Sam had a plan.
Sam	the	Sam and Mia nodded and followed the man.	the and Mia nodded and followed Sam man.
was	sad	Tom was sad.	Tom sad was.
They	novel	They loved their new novel.	novel loved their new They.
grabbed	started	He grabbed the rake and started to work.	He started the rake and grabbed to work.
Lily	storm	Lily was scared of the storm.	storm was scared of the Lily.
Then	hugged	Then Daisy and Mama hugged tightly.	hugged Daisy and Mama Then tightly.
it	red	They got the red ball and took it home.	They got the it ball and took red home.
three	year	Jimmy was a generous three year old.	Jimmy was a generous year three old.
hand	tightly	He held his car tightly in his hand.	He held his car hand in his tightly.
flew	away	The plane flew away and the people said goodbye.	The plane away flew and the people said goodbye.
other	and	Her parents hugged each other and her brother giggled.	Her parents hugged each and other her brother giggled.
learn	woke	Every morning, Lola woke up impatient to learn more things.	Every morning, Lola learn up impatient to woke more things.
forgot	the	They forgot about the mosquito and had fun.	They the about forgot mosquito and had fun.
ball	see	They see the ball.	They ball the see.
was	and	The little girl was amazed and started to laugh.	The little girl and amazed was started to laugh.
teacher	kind	He peeked inside and saw a kind teacher inside.	He peeked inside and saw a teacher kind inside.
she	and	Tom tickled her under her chin and she clucked happily.	Tom tickled her under her chin she and clucked happily.
Lily	was	Lily was very careful not to touch it.	was Lily very careful not to touch it.
liked	to	Lily liked to bake cakes and cookies with Mom.	Lily to liked bake cakes and cookies with Mom.
led	the	Mummy took her hand and led her to the car.	Mummy took her hand and the her to led car.
last	She	She ate all of her lunch, every last bite.	last ate all of her lunch, every She bite.
to	want	They do not want to leave the pool.	They do not to want leave the pool.
more	than	He wanted to be the best more than anyone else.	He wanted to be the best than more anyone else.
Ben	brother	Ben is Sara's brother.	brother is Sara's Ben.
worked	made	He worked hard and made the nest big and cozy.	He made hard and worked the nest big and cozy.
was	upset	Milly was upset.	Milly upset was.
to	They	They began to play together in the jungle.	to began They play together in the jungle.
next	he	But, he was already thinking about his next creative vacation.	But, next was already thinking about his he creative vacation.
pushed	boat	The waves pushed the boat away from the shore.	The waves boat the pushed away from the shore.
happy	had	They had fun and they were happy.	They happy fun and they were had.
She	so	She said she was so happy to see them.	so said she was She happy to see them.
starts	to	The bus starts to move.	The bus to starts move.
surprised	her	She was surprised and showed her mom.	She was her and showed surprised mom.
began	she	When they began to walk around, she saw fake jewels.	When they she to walk around, began saw fake jewels.
you	trying	She was trying to protect you.	She was you to protect trying.
off	the	So they hopped into the car and drove off.	So they hopped into off car and drove the.
down	the	They sat down together and opened the dictionary.	They sat the together and opened down dictionary.
wasn't	looking	She decided to steal it when Lily wasn't looking.	She decided to steal it when Lily looking wasn't.
at	and	He sat outside his hut and smiled at the sun.	He sat outside his hut at smiled and the sun.
what	said	Sarah thought about what the voice said.	Sarah thought about said the voice what.
playing	were	They were laughing and playing, and she smiled to herself.	They playing laughing and were, and she smiled to herself.
cries	Ben	Ben screams and cries.	cries screams and Ben.
car	his	He did not want his car to grow.	He did not want car his to grow.
pumpkins	was	But their favorite thing was to play with the pumpkins.	But their favorite thing pumpkins to play with the was.
to	help	Tim wanted to help Sue feel better.	Tim wanted help to Sue feel better.
Jack	that	Jack could tell that the bandage was very flexible.	that could tell Jack the bandage was very flexible.
She	the	She loved to play in the park with her friends.	the loved to play in She park with her friends.
it	boat	The boat stopped in front of it.	The it stopped in front of boat.
animal	a	You are a mean animal!	You are animal mean a!
was	sad	Ben was sad.	Ben sad was.
It	taller	It is taller than Ben.	taller is It than Ben.
Daisy	very	Daisy was very busy everyday.	very was Daisy busy everyday.
little	So	So the little boy looked up at the roof.	little the So boy looked up at the roof.
fit	It	It does not fit.	fit does not It.
chest	big	She had a toy chest that was big and purple.	She had a toy big that was chest and purple.
time	upon	Once upon a time, there was a lively dancer.	Once time a upon, there was a lively dancer.
Bob	was	Who are you?â€ Bob was so surprised!	Who are you? â €was Bob so surprised!
was	sky	The yellow and orange sky was so bright and cute.	The yellow and orange was sky so bright and cute.
was	scared	He sang even when he was scared.	He sang even when he scared was.
looked	top	Lila reached the top of the slide and looked down.	Lila reached the looked of the slide and top down.
dog	They	They look at the dog.	dog look at the They.
But	Ben	But Ben likes rain.	Ben But likes rain.
and	It	It is dark and wet.	and is dark It wet.
see	to	He liked to test events and see how they went.	He liked see test events and to how they went.
problem	They	They wanted to try it, but there was a problem.	problem wanted to try it, but there was a They.
Tom	is	Tom is scared.	is Tom scared.
play	liked	She liked to play with Spot.	She play to liked with Spot.
cat	He	He also felt sorry for the cat.	cat also felt sorry for the He.
Once	was	Once upon a time there was a big girl.	was upon a time there Once a big girl.
seed	grow	As the days went by, the seed started to grow.	As the days went by, the grow started to seed.
Mommy	here	Mommy is not here.	here is not Mommy.
is	It	It is broken and rusty.	is It broken and rusty.
other	walked	They hugged each other, and walked back to their ship.	They hugged each walked, and other back to their ship.
you	What	What are you?	you are What?
The	would	The little seeds would grow into new trees.	would little seeds The grow into new trees.
learn	things	Anna liked to learn new things.	Anna liked to things new learn.
have	a	They have a good day.	They a have good day.
the	mom	His mom was amazed by the colorful tuna.	His the was amazed by mom colorful tuna.
day	his	He loved to play with his toys all day long.	He loved to play with day toys all his long.
taking	weren't	She always asked permission before taking things that weren't hers.	She always asked permission before weren't things that taking hers.
mom	trusted	She trusted her mom.	She mom her trusted.
to	want	He does not want to share.	He does not to want share.
was	glowing	It was glowing with many colors.	It glowing was with many colors.
They	many	They have many colors and sounds.	many have They colors and sounds.
skeleton	of	Out of the deep sea came a skeleton!	Out skeleton the deep sea came a of!
other	each	The dove and girl stared at each other.	The dove and girl stared at other each.
a	worker	He is a worker.	He is worker a.
to	escape	She wanted to escape!	She wanted escape to!
gone	and	He chewed and chewed until it was all gone.	He chewed gone chewed until it was all and.
cups	into	Dad pored the hot, strong coffee into two cups.	Dad pored the hot, strong coffee cups two into.
It	sees	It sees Tom and Jen.	sees It Tom and Jen.
The	was	The bump was bad.	was bump The bad.
The	big	The big boy is mad.	big The boy is mad.
proud	herself	Lily felt proud of herself for doing the right thing.	Lily felt herself of proud for doing the right thing.
lesson	and	Lily and Ben learned their lesson.	Lily lesson Ben learned their and.
the	not	They could not find the stairs.	They could the find not stairs.
us	hear	Can you hear us?	Can you us hear?
happy	his	Tim went back to his house, tired but happy.	Tim went back to happy house, tired but his.
to	returned	John sadly returned to his house, all alone.	John sadly to returned his house, all alone.
to	park	They liked to play in the park.	They liked park play in the to.
made	had	They had made a big mess.	They made had a big mess.
it	up	She zipped up her coat and left it alone.	She zipped it her coat and left up alone.
are	dad	Mom and dad are happy.	Mom and are dad happy.
games	friends	She loved to play games with her friends.	She loved to play friends with her games.
a	made	The girl got on the train and made a request.	The girl got on the train and a made request.
made	noises	He made funny noises.	He noises funny made.
and	was	The boy was very frustrated and anxious.	The boy and very frustrated was anxious.
Timmy	and	The dog got scared and bit Timmy.	The dog got scared Timmy bit and.
are	They	They are gone.	are They gone.
said	the	Lily said she wanted to touch the curtains.	Lily the she wanted to touch said curtains.
amazed	magic	Lily was so happy and amazed by the magic.	Lily was so happy and magic by the amazed.
You	were	You were not gentle.	were You not gentle.
curious	and	They are happy and curious.	They are happy curious and.
slide	sees	He goes to the slide and sees the big box.	He goes to the sees and slide the big box.
put	bags	They put a lot of things in different bags.	They bags a lot of things in different put.
the	took	One day, Billy 's mommy took him to the park.	One day, Billy's mommy the him to took park.
a	heard	Suddenly, he heard a neighing sound.	Suddenly, he a heard neighing sound.
help	up	The bird agreed to help Sammy clean up his home.	The bird agreed to up Sammy clean help his home.
delicious	fun	It was a fun and delicious day!	It was a delicious and fun day!
the	best	You are the best.	You are best the.
She	nose	She covers her nose with her hand.	nose covers her She with her hand.
and	Mandy	Tom and Mandy were so scared!	Tom Mandy and were so scared!
are	happy	They are happy.	They happy are.
One	Sarah	One night, Lily and Sarah were getting ready for bed.	Sarah night, Lily and One were getting ready for bed.
nice	is	That is a nice book.	That nice a is book.
ball	elephant	The elephant nods and pushes the ball to them.	The ball nods and pushes the elephant to them.
He	orange	He loved his orange ball.	orange loved his He ball.
yourself	have	You could have hurt yourself.	You could yourself hurt have.
run	wanted	He wanted to run away from home.	He run to wanted away from home.
