input1	input2	label
p	topic	toic
n	comment	commet
a	financial	finncil
n	things	thigs
i	working	workng
t	against	agains
s	standard	tandard
a	tax	tx
n	person	perso
b	below	elow
b	mobile	moile
s	less	le
g	got	ot
g	blog	blo
p	party	arty
y	payment	pament
q	equipment	euipment
n	login	logi
u	student	stdent
e	let	lt
a	programs	progrms
o	offers	ffers
g	legal	leal
o	above	abve
t	recent	recen
p	park	ark
s	stores	tore
i	side	sde
c	act	at
p	problem	roblem
r	red	ed
i	give	gve
e	memory	mmory
a	performance	performnce
a	social	socil
s	august	augut
t	quote	quoe
u	language	langage
o	story	stry
s	sell	ell
o	options	ptins
x	experience	eperience
e	rates	rats
c	create	reate
y	key	ke
y	body	bod
n	young	youg
r	america	ameica
m	important	iportant
l	field	fied
e	few	fw
a	east	est
r	paper	pape
s	single	ingle
a	age	ge
c	activities	ativities
l	club	cub
x	example	eample
l	girls	girs
d	additional	aitional
d	password	passwor
s	latest	latet
g	something	somethin
o	road	rad
f	gift	git
i	question	queston
n	changes	chages
h	night	nigt
h	hard	ard
s	texas	texa
t	oct	oc
p	pay	ay
f	four	our
k	poker	poer
t	status	saus
w	browse	brose
u	issue	isse
g	range	rane
b	building	uilding
e	seller	sllr
u	court	cort
b	february	feruary
s	always	alway
l	result	resut
d	audio	auio
g	light	liht
r	write	wite
a	war	wr
o	nov	nv
r	offer	offe
u	blue	ble
s	groups	group
s	easy	eay
i	given	gven
s	files	file
e	event	vnt
a	release	relese
a	analysis	nlysis
u	request	reqest
x	fax	fa
c	china	hina
g	making	makin
c	picture	piture
e	needs	nds
i	possible	possble
t	might	migh
l	professional	professiona
y	yet	et
m	month	onth
m	major	ajor
s	star	tar
s	areas	area
f	future	uture
s	space	pace
m	committee	coittee
n	hand	had
n	sun	su
r	cards	cads
o	problems	prblems
o	london	lndn
s	washington	wahington
n	meeting	meetig
r	rss	ss
c	become	beome
t	interest	ineres
h	child	cild
p	keep	kee
n	enter	eter
l	california	caifornia
o	porn	prn
r	share	shae
s	similar	imilar
a	garden	grden
s	schools	chool
o	million	millin
d	added	ae
r	reference	efeence
e	companies	companis
t	listed	lised
a	baby	bby
r	learning	leaning
r	energy	enegy
r	run	un
v	delivery	deliery
n	net	et
r	popular	popula
r	term	tem
l	film	fim
t	stories	sories
u	put	pt
e	computers	computrs
o	journal	jurnal
e	reports	rports
t	try	ry
w	welcome	elcome
c	central	entral
e	images	imags
p	president	resident
n	notice	otice
o	god	gd
i	original	orgnal
d	head	hea
d	radio	raio
n	until	util
c	cell	ell
c	color	olor
s	self	elf
u	council	concil
a	away	wy
n	includes	icludes
r	track	tack
s	australia	autralia
o	discussion	discussin
r	archive	achive
n	once	oce
o	others	thers
i	entertainment	entertanment
r	agreement	ageement
r	format	fomat
a	least	lest
o	society	sciety
n	months	moths
g	log	lo
e	safety	safty
d	friends	friens
u	sure	sre
f	faq	aq
a	trade	trde
e	edition	dition
s	cars	car
m	messages	essages
g	marketing	marketin
t	tell	ell
t	further	furher
d	updated	upate
o	association	assciatin
a	able	ble
h	having	aving
o	provides	prvides
d	david	avi
f	fun	un
a	already	lredy
e	green	grn
t	studies	sudies
l	close	cose
n	common	commo
e	drive	driv
f	specific	speciic
v	several	seeral
o	gold	gld
f	feb	eb
v	living	liing
p	sep	se
e	collection	collction
a	called	clled
o	short	shrt
s	arts	art
t	lot	lo
k	ask	as
i	display	dsplay
t	limited	limied
p	powered	owered
u	solutions	soltions
s	means	mean
i	director	drector
y	daily	dail
c	beach	beah
p	past	ast
a	natural	nturl
t	whether	wheher
d	due	ue
e	electronics	lctronics
e	five	fiv
o	upon	upn
o	period	perid
a	planning	plnning
a	database	dtbse
a	says	sys
c	official	offiial
t	weather	weaher
r	mar	ma
n	land	lad
g	average	averae
o	done	dne
n	technical	techical
i	window	wndow
c	france	frane
r	pro	po
e	region	rgion
i	island	sland
d	record	recor
r	direct	diect
i	microsoft	mcrosoft
e	conference	confrnc
r	environment	envionment
o	records	recrds
r	district	distict
l	calendar	caendar
o	costs	csts
l	style	stye
u	url	rl
o	front	frnt
t	statement	saemen
a	update	updte
a	parts	prts
g	aug	au
r	ever	eve
d	downloads	ownloas
e	early	arly
s	miles	mile
d	sound	soun
s	resource	reource
r	present	pesent
n	applications	applicatios
h	either	eiter
o	ago	ag
n	document	documet
w	word	ord
w	works	orks
l	material	materia
l	bill	bi
a	apr	pr
e	written	writtn
k	talk	tal
r	federal	fedeal
n	hosting	hostig
r	rules	ules
f	final	inal
u	adult	adlt
s	tickets	ticket
t	thing	hing
c	centre	entre
u	requirements	reqirements
v	via	ia
a	cheap	chep
e	nude	nud
s	kids	kid
f	finance	inance
r	true	tue
e	minutes	minuts
l	else	ese
r	mark	mak
h	third	tird
o	rock	rck
f	gifts	gits
p	europe	euroe
g	reading	readin
p	topics	toics
d	bad	ba
l	individual	individua
i	tips	tps
u	plus	pls
a	auto	uto
o	cover	cver
u	usually	sally
e	edit	dit
r	together	togethe
i	videos	vdeos
e	percent	prcnt
f	fast	ast
i	function	functon
c	fact	fat
u	unit	nit
n	getting	gettig
g	global	lobal
e	tech	tch
m	meet	eet
r	far	fa
i	economic	economc
a	player	plyer
e	projects	projcts
l	lyrics	yrics
t	often	ofen
r	subscribe	subscibe
t	submit	submi
g	germany	ermany
t	amount	amoun
h	watch	watc
e	included	includd
e	feel	fl
u	though	thogh
b	bank	ank
r	risk	isk
h	thanks	tanks
v	everything	eerything
s	deals	deal
r	various	vaious
r	words	wods
l	linux	inux
l	jul	ju
n	production	productio
a	commercial	commercil
s	james	jame
g	weight	weiht
n	town	tow
h	heart	eart
e	advertising	advrtising
d	received	receive
h	choose	coose
t	treatment	reamen
s	newsletter	newletter
e	archives	archivs
t	points	poins
l	knowledge	knowedge
a	magazine	mgzine
r	error	eo
c	camera	amera
n	jun	ju
l	girl	gir
t	currently	currenly
s	construction	contruction
s	toys	toy
r	registered	egisteed
c	clear	lear
o	golf	glf
v	receive	receie
d	domain	omain
o	methods	methds
a	chapter	chpter
a	makes	mkes
o	protection	prtectin
p	policies	olicies
a	loan	lon
i	wide	wde
t	beauty	beauy
a	manager	mnger
i	india	nda
n	position	positio
e	taken	takn
r	sort	sot
i	listings	lstngs
e	models	modls
h	michael	micael
k	known	nown
a	half	hlf
e	cases	cass
s	step	tep
g	engineering	enineerin
o	florida	flrida
i	simple	smple
i	quick	quck
n	none	oe
e	wireless	wirlss
e	license	licns
l	paul	pau
i	friday	frday
e	lake	lak
h	whole	wole
a	annual	nnul
e	published	publishd
a	later	lter
i	basic	basc
n	sony	soy
w	shows	shos
c	corporate	orporate
o	google	ggle
h	church	curc
d	method	metho
h	purchase	purcase
c	customers	ustomers
v	active	actie
n	response	respose
e	practice	practic
w	hardware	hardare
r	figure	figue
a	materials	mterils
f	fire	ire
l	holiday	hoiday
c	chat	hat
u	enough	enogh
s	designed	deigned
n	along	alog
o	among	amng
a	death	deth
g	writing	writin
e	speed	spd
m	html	htl
s	countries	countrie
s	loss	lo
e	face	fac
r	brand	band
u	discount	discont
e	higher	highr
f	effects	eects
c	created	reated
m	remember	reeber
d	standards	stanars
l	oil	oi
b	bit	it
e	yellow	yllow
a	political	politicl
c	increase	inrease
r	advertise	advetise
d	kingdom	kingom
e	base	bas
a	near	ner
m	environmental	environental
u	thought	thoght
f	stuff	stu
e	french	frnch
o	storage	strage
j	japan	apan
g	doing	doin
o	loans	lans
h	shoes	soes
e	entry	ntry
t	stay	say
a	nature	nture
e	orders	ordrs
a	availability	vilbility
r	africa	afica
r	summary	summay
u	turn	trn
a	mean	men
o	growth	grwth
t	notes	noes
y	agency	agenc
k	king	ing
o	monday	mnday
n	european	europea
t	activity	aciviy
p	copy	coy
l	although	athough
r	drug	dug
p	pics	ics
s	western	wetern
e	income	incom
o	force	frce
s	cash	cah
l	employment	empoyment
v	overall	oerall
b	bay	ay
v	river	rier
i	commission	commsson
a	package	pckge
c	contents	ontents
n	seen	see
a	players	plyers
e	engine	ngin
p	port	ort
u	album	albm
n	regional	regioal
t	stop	sop
u	supplies	spplies
e	started	startd
t	administration	adminisraion
b	bar	ar
t	institute	insiue
i	views	vews
p	plans	lans
o	double	duble
d	dog	og
i	build	buld
s	screen	creen
x	exchange	echange
t	types	ypes
o	soon	sn
e	sponsored	sponsord
l	lines	ines
c	electronic	eletroni
t	continue	coninue
o	across	acrss
e	benefits	bnfits
n	needed	eeded
e	season	sason
y	apply	appl
s	someone	omeone
l	held	hed
h	anything	anyting
t	printer	priner
i	condition	condton
t	effective	effecive
v	believe	beliee
