input1	input2	input3	label
try	spear	He threw the spear at the rabbit and hit it.	He threw the spear try at the rabbit and hit it.
loss	a	They find a lot of junk in the yard.	They find a loss lot of junk in the yard.
gift	a	Finally, they found it in a park.	Finally, they found it in a gift park.
access	nodded	Jane nodded and smiled.	Jane nodded access and smiled.
minutes	Sara	Sara and Tom say they are sorry.	Sara minutes and Tom say they are sorry.
average	duck	He thanks the duck and takes his ball.	He thanks the duck average and takes his ball.
without	off	She quickly took off the hat and ran inside.	She quickly took off without the hat and ran inside.
condition	loved	She loved to explore and play outside.	She loved condition to explore and play outside.
not	heard	Lily's mom heard her singing and came into the room.	Lily's mom heard not her singing and came into the room.
downloads	the	He held the magnet near a metal spoon.	He held the downloads magnet near a metal spoon.
more	starts	The balloon starts to rise in the air.	The balloon starts more to rise in the air.
users	He	He thought to himself.	He users thought to himself.
message	One	One day, Tom was at the park with his Mom.	One message day, Tom was at the park with his Mom.
never	licks	He licks his mouth.	He licks never his mouth.
let	grateful	You should be grateful for what you have.	You should be grateful let for what you have.
popular	to	Lily was sad and started to cry.	Lily was sad and started to popular cry.
they	his	But he also likes to play with his stand.	But he also likes to play with his they stand.
like	scared	He was scared and cold.	He was scared like and cold.
terms	did	They did not see the big wave coming.	They did terms not see the big wave coming.
side	sad	Anna is sad.	Anna is sad side.
directory	but	She thought it was nice, but she was hungry.	She thought it was nice, but directory she was hungry.
yet	box	It seemed to be a glass box.	It seemed to be a glass box yet.
registered	saw	They saw the pile of leaves gone.	They saw registered the pile of leaves gone.
meet	took	He took a big bite and was very satisfied.	He took meet a big bite and was very satisfied.
best	a	She was very excited as she had a special surprise.	She was very excited as she had a best special surprise.
years	and	He was big and round.	He was big and years round.
council	very	She loved horses very much.	She loved horses very council much.
health	nodded	Sammy cautiously nodded.	Sammy cautiously nodded health.
shop	giggled	Lisa giggled and took out her camera.	Lisa giggled shop and took out her camera.
minutes	grumpy	Lazy makes you sad and grumpy.	Lazy makes you sad and grumpy minutes.
yellow	She	She scolded Ben and told him to go away.	She yellow scolded Ben and told him to go away.
side	slide	They get to the slide first.	They get to the slide side first.
listings	Tom	Tim and Tom look at each other.	Tim and Tom listings look at each other.
aug	laughed	The lady told him stories and they laughed together.	The lady told him stories and they laughed aug together.
current	had	Lily and Ben had lots of fun drawing together.	Lily and Ben had current lots of fun drawing together.
from	noises	They were angry and making loud noises.	They were angry and making loud noises from.
interest	smiled	They looked at their work and smiled.	They looked at their work and smiled interest.
apr	magazine	The beautiful bird felt sad that her magazine was gone.	The beautiful bird felt sad that her magazine apr was gone.
like	in	Lily and Spot played in the grass all day long.	Lily and Spot played in like the grass all day long.
welcome	their	And they both enjoyed their soup.	And they both enjoyed their welcome soup.
here	in	She saw a big, furry animal in front of her.	She saw a big, furry animal in here front of her.
until	too	I love you too.	I love you too until.
arts	the	She sees the note.	She sees the arts note.
building	very	It is very cute.	It is very building cute.
effective	They	They liked to play together in the park.	They effective liked to play together in the park.
region	and	They pull and push.	They pull and region push.
august	woke	Milo woke up, and saw Lily crying.	Milo woke august up, and saw Lily crying.
players	She	She wanted to succeed.	She players wanted to succeed.
availability	everywhere	Once upon a time, everywhere was dark.	Once upon a time, everywhere availability was dark.
because	yelling	Why are you yelling and fighting?	Why are you yelling because and fighting?
purchase	Toby	Toby couldn't wait!	Toby purchase couldn't wait!
and	and	He tried hard, and finally got the rhythm right.	He tried hard, and and finally got the rhythm right.
try	roared	He was deaf and roared at her.	He was deaf and roared try at her.
internet	You	You are very naughty!	You internet are very naughty!
park	Bob	Bob was happy to help.	Bob park was happy to help.
education	named	Once there was a little girl named Bella.	Once there was a little girl named education Bella.
next	of	The wise old man was so proud of his masterpiece.	The wise old man was so proud of next his masterpiece.
public	it	She picked up her ball and threw it to Spot.	She picked up her ball and threw it public to Spot.
via	make	So, he decided to make a costume.	So, he decided to make via a costume.
family	and	Her mom smiled at her and said, â€œSee?	Her mom smiled at her and family said, â €œSee?
are	to	They wanted to climb it.	They wanted to are climb it.
weight	a	They set up a tent in the woods.	They set up a weight tent in the woods.
adult	mom	She did not want to make her mom sad.	She did not want to make her mom adult sad.
then	so	They were so beautiful.	They were so then beautiful.
includes	liked	They liked to play with rocks and pages.	They liked includes to play with rocks and pages.
orders	is	That is very bad!	That is orders very bad!
state	day	One day, Tom has a gift for Anna.	One day state, Tom has a gift for Anna.
future	out	She was so happy and yelled out for joy!	She was so happy and yelled out future for joy!
anything	Inside	Inside, they found some candy and a funny toy!	Inside anything, they found some candy and a funny toy!
designed	joke	She ran over to him and told him another joke.	She ran over to him and told him another joke designed.
feedback	his	The little boy nodded and watched as his mom entered.	The little boy nodded and watched as his feedback mom entered.
girl	the	Suddenly, the fox heard a deep voice.	Suddenly, the girl fox heard a deep voice.
name	but	They worked hard, but things weren't going very well.	They worked hard, but name things weren't going very well.
easy	outside	Mia liked to play outside in the sun.	Mia liked to play outside easy in the sun.
rate	new	She learned something new and had fun.	She learned something new rate and had fun.
own	are	You are good at marking.	You are own good at marking.
systems	liked	John liked seeing how friendly the church was.	John liked systems seeing how friendly the church was.
printer	wanted	It wanted to take their ball.	It wanted printer to take their ball.
free	butterfly	The butterfly flew away but Jimmy kept staring.	The butterfly free flew away but Jimmy kept staring.
bad	Finally	She stirred and stirred until Finally, something happened.	She stirred and stirred until Finally bad, something happened.
air	wanted	Tom wanted to play with his car on the floor.	Tom wanted air to play with his car on the floor.
tax	shell	The little girl was excited to have her special shell.	The little girl was excited to have her special shell tax.
does	The	The man is angry.	The does man is angry.
continue	he	Max tried to pull himself free, but he couldn't.	Max tried to pull himself free, but he continue couldn't.
love	Lucy	Lucy was very sad and cried.	Lucy love was very sad and cried.
your	It	It was weird and shiny.	It your was weird and shiny.
memory	The	The cat was very sad.	The memory cat was very sad.
fax	her	Lily smiled and bounced on her ball.	Lily smiled and bounced on her fax ball.
media	did	He did not want to be friends with Jill anymore.	He did media not want to be friends with Jill anymore.
value	hand	He came out of his doghouse and licked her hand.	He came out of his doghouse and licked her hand value.
day	proud	Spot and Whiskers smiled, proud of their hard work.	Spot and Whiskers smiled, proud day of their hard work.
its	enjoyed	She enjoyed playing by the sea and watching the waves.	She enjoyed its playing by the sea and watching the waves.
town	there	He turned and saw a little girl standing there.	He turned and saw a little girl standing there town.
insurance	Snow	Tom's mom gave Snow some fish to eat.	Tom's mom gave Snow insurance some fish to eat.
download	He	He said he wanted to share his joy with someone.	He download said he wanted to share his joy with someone.
edit	his	John slowly turned his head and saw a large bird.	John slowly turned his edit head and saw a large bird.
did	and	She takes a wet cloth and wipes their faces.	She takes a wet cloth and did wipes their faces.
employment	friend	He looked at his friend Lily.	He looked at his friend employment Lily.
among	happy	She is happy.	She is happy among.
server	anymore	She wasn't worried anymore.	She wasn't worried anymore server.
course	of	But some of her friends were competitive too.	But some of course her friends were competitive too.
monday	and	She claps her hands and jumps up and down.	She claps her hands and monday jumps up and monday down.
close	with	We can decorate it with the flowers.	We can decorate it with close the flowers.
london	She	She had a pretty blouse that she liked to wear.	She london had a pretty blouse that she liked to wear.
new	was	But now, everything was gone and Timmy was sad.	But now, everything was new gone and Timmy was new sad.
professional	snowballs	They make snowballs and snowmen and snow forts.	They make snowballs professional and snowmen and snow forts.
members	broke	The dinosaur broke in half.	The dinosaur broke members in half.
required	to	He did not want to lose his wool.	He did not want to required lose his wool.
sale	her	So, Lily and her friends went up to the roof.	So, Lily and her sale friends went up to the roof.
still	and	She screamed and cried.	She screamed and still cried.
works	table	She carried the mug back to the table.	She carried the mug back to the table works.
share	had	Her brother had already passed away.	Her brother had share already passed away.
could	They	They each picked one.	They could each picked one.
jobs	by	He started by gathering shiny, thick rail to make it.	He started by jobs gathering shiny, thick rail to make it.
started	sitting	He saw a bench where Lila's mom was sitting.	He saw a bench where Lila's mom was sitting started.
money	diamond	The group decided to try and get the diamond back.	The group decided to try and get the diamond money back.
office	He	He made a big mess.	He office made a big mess.
cart	didn't	But Lily didn't care.	But Lily didn't cart care.
address	moving	Inside the school, Lucy saw a big moving file.	Inside the school, Lucy saw a big moving address file.
still	stirred	She stirred the soup.	She stirred still the soup.
oil	watered	Mommy watered the plants.	Mommy watered oil the plants.
forum	his	They hope the owl will like his cake too.	They hope the owl will like his forum cake too.
release	friend	Bow was happy he could help his new friend.	Bow was happy he could help his new friend release.
month	day	One day, she saw a pony in the park.	One day month, she saw a pony in the park.
gay	them	They asked him if he wanted to play with them.	They asked him if he wanted to play with them gay.
entertainment	the	The man helps them get in the basket.	The man helps them get in the entertainment basket.
india	loved	She loved to visit her grandma's house.	She loved india to visit her grandma's house.
equipment	a	It makes a loud noise.	It makes a equipment loud noise.
site	every	She loved to read books every day.	She loved to read books every site day.
database	blew	The wind blew harder.	The wind blew database harder.
problem	laugh	They laugh and giggle.	They laugh problem and giggle.
not	stay	She wanted to stay forever and admire the lab.	She wanted to stay not forever and admire the lab.
before	confusion	The friends looked at each other in confusion.	The friends looked at each other in confusion before.
receive	the	He walked to the armchair and peeked behind it.	He walked to the receive armchair and peeked behind it.
radio	She	She sat down on the grass and closed her eyes.	She radio sat down on the grass and closed her eyes.
called	He	He wanted to sleep in his bed.	He called wanted to sleep in his bed.
around	felt	Lily felt dizzy and scared.	Lily felt around dizzy and scared.
minutes	and	The tiger listened and left.	The tiger listened and minutes left.
building	the	They had shrunk when they went through the hole.	They had shrunk when they went through the building hole.
fax	a	It was a welcome sign.	It was a fax welcome sign.
currently	Suddenly	Suddenly, a big, scary creature appeared!	Suddenly currently, a big, scary creature appeared!
related	again	John tried again.	John tried again related.
join	the	She accidentally spilled it on the carpet.	She accidentally spilled it on the join carpet.
ago	They	They nod and hug.	They ago nod and hug.
growth	But	But it was too late.	But growth it was too late.
each	ran	Sarah ran up the hill as fast as she could.	Sarah ran each up the hill as fast as she could.
sun	picked	He saw a rock nearby and picked it up.	He saw a rock nearby and picked sun it up.
engine	girl	The girl smiled and waved goodbye.	The girl engine smiled and waved goodbye.
line	They	They packed their bags and went on a camping vacation.	They line packed their bags and went on a camping vacation.
information	and	She smiled and hugged him tight.	She smiled and information hugged him tight.
france	sad	She felt sad and sorry.	She felt sad france and sorry.
engine	€	The mouse asked him, â€œWhat do you want?	The mouse asked him, â €engine œWhat do you want?
kids	thought	She didn't like lectures and thought they were boring.	She didn't like lectures and thought kids they were boring.
having	and	They thought they were lucky and smart.	They thought they were lucky and having smart.
records	looks	Ben thinks it looks fun.	Ben thinks it looks records fun.
once	play	She did not want to play with Tom anymore.	She did not want to play once with Tom anymore.
community	But	But then, something bad happens.	But community then, something bad happens.
sites	better	He knew it was better to be kind.	He knew it was better sites to be kind.
pro	she	One day, she met a little boy named Jack.	One day, she pro met a little boy named Jack.
box	worried	Mom is worried.	Mom is worried box.
town	the	I want the fish.	I want the town fish.
into	to	They like to play in the park.	They like to into play in the park.
edition	his	Timmy asked his mommy what was in the mail.	Timmy asked his edition mommy what was in the mail.
among	loved	Tim loved to play outside with his toys.	Tim loved among to play outside with his toys.
kids	lost	Max was very troubled because he lost his bone.	Max was very troubled because he lost kids his bone.
david	Timmy	Timmy spread paint all over his paper.	Timmy david spread paint all over his paper.
gifts	picks	Sara picks a card.	Sara picks gifts a card.
percent	it	But it was too hard.	But it percent was too hard.
did	after	Everyone was happy and they all lived happily ever after.	Everyone was happy and they all lived happily ever after did.
gay	her	She was very small and her wings were green.	She was very small and her gay wings were green.
part	the	They take their books and run back to the swings.	They take their books and run back to the part swings.
children	this	How could it get out of this?	How could it get out of this children?
gay	the	Mom said yes, and gave her the needle.	Mom said yes, and gave her the gay needle.
views	tightly	It was stuck so tightly that it couldn't move.	It was stuck so tightly views that it couldn't move.
notice	was	Poppy was happy because she had learned something new today.	Poppy was notice happy because she had learned something new today.
lake	a	He looked around and saw a crystal!	He looked around and saw a lake crystal!
government	him	The cat caught the little bird and ate him up.	The cat caught the little bird and ate him government up.
name	was	Tim was not hungry anymore.	Tim was name not hungry anymore.
days	was	Once there was a skeleton.	Once there was days a skeleton.
deals	this	Everyone laughed at this, but the king was not amused.	Everyone laughed at this deals, but the king was not amused.
games	They	They do not share the berries.	They games do not share the berries.
bank	gold	He reached down and found a gold hook!	He reached down and found a gold bank hook!
costs	visit	One day, Timmy's friend came to visit him.	One day, Timmy's friend came to visit costs him.
time	exams	Tom did not like exams.	Tom did not like exams time.
categories	worked	They worked together and built the fence.	They worked categories together and built the fence.
computers	balloon	He gives them the balloon.	He gives them the balloon computers.
figure	flowers	It was white and blue and had flowers on it.	It was white and blue and had flowers figure on it.
stories	vroom	Vroom, vroom, beep, beep!	Vroom, vroom stories, beep, beep!
less	noises	There were many people and noises.	There were many people and noises less.
team	modern	He liked modern things.	He liked modern team things.
downloads	for	They say they are ready for the baby.	They say they are ready for downloads the baby.
includes	and	Spot barked and wagged his tail.	Spot barked and includes wagged his tail.
content	It	It broke into many pieces.	It content broke into many pieces.
player	a	Bob lived in a wide forest.	Bob lived in a player wide forest.
form	a	The cat was playing with a ball.	The cat was playing with a form ball.
still	home	Then she knew the way home.	Then she knew the way home still.
drug	bow	She gave him a yellow hat with a bow.	She gave him a yellow hat with a bow drug.
clear	he	He tried and tried, but he just couldn't tie them.	He tried and tried, but he clear just couldn't tie them.
knowledge	and	She was very brave and put her toe in first!	She was very brave and knowledge put her toe in first!
history	He	He was scared that he had hurt his best friend.	He history was scared that he had hurt his best friend.
customer	and	They liked to build towers and knock them down.	They liked to build towers and customer knock them down.
become	and	They see many pictures and words on the screen.	They see many pictures and become words on the screen.
growth	sad	He was very sad.	He was very sad growth.
series	to	He liked to try new things.	He liked to series try new things.
sale	and	Inch nodded and started to help.	Inch nodded and sale started to help.
first	and	One day, Tim and Sam had a plan.	One day, Tim and first Sam had a plan.
large	the	Sam and Mia nodded and followed the man.	Sam and Mia nodded and followed the large man.
general	Tom	Tom was sad.	Tom general was sad.
making	They	They loved their new novel.	They making loved their new novel.
poker	work	He grabbed the rake and started to work.	He grabbed the rake and started to work poker.
provide	storm	Lily was scared of the storm.	Lily was scared of the storm provide.
off	tightly	Then Daisy and Mama hugged tightly.	Then Daisy and Mama hugged tightly off.
adult	took	They got the red ball and took it home.	They got the red ball and took adult it home.
european	three	Jimmy was a generous three year old.	Jimmy was a generous three european year old.
federal	held	He held his car tightly in his hand.	He held federal his car tightly in his hand.
which	away	The plane flew away and the people said goodbye.	The plane flew away which and the people said goodbye.
reserved	each	Her parents hugged each other and her brother giggled.	Her parents hugged each reserved other and her brother giggled.
she	things	Every morning, Lola woke up impatient to learn more things.	Every morning, Lola woke up impatient to learn more things she.
photo	fun	They forgot about the mosquito and had fun.	They forgot about the mosquito and had fun photo.
engine	ball	They see the ball.	They see the ball engine.
terms	started	The little girl was amazed and started to laugh.	The little girl was amazed and started terms to laugh.
contents	kind	He peeked inside and saw a kind teacher inside.	He peeked inside and saw a kind contents teacher inside.
password	her	Tom tickled her under her chin and she clucked happily.	Tom tickled her password under her password chin and she clucked happily.
options	not	Lily was very careful not to touch it.	Lily was very careful not options to touch it.
technology	Lily	Lily liked to bake cakes and cookies with Mom.	Lily technology liked to bake cakes and cookies with Mom.
call	hand	Mummy took her hand and led her to the car.	Mummy took her hand call and led her to the car.
both	lunch	She ate all of her lunch, every last bite.	She ate all of her lunch both, every last bite.
update	the	They do not want to leave the pool.	They do not want to leave the update pool.
credit	more	He wanted to be the best more than anyone else.	He wanted to be the best more credit than anyone else.
quote	is	Ben is Sara's brother.	Ben is quote Sara's brother.
parts	nest	He worked hard and made the nest big and cozy.	He worked hard and made the nest parts big and cozy.
made	upset	Milly was upset.	Milly was upset made.
committee	began	They began to play together in the jungle.	They began committee to play together in the jungle.
over	But	But, he was already thinking about his next creative vacation.	But over, he was already thinking about his next creative vacation.
golf	pushed	The waves pushed the boat away from the shore.	The waves pushed golf the boat away from the shore.
class	happy	They had fun and they were happy.	They had fun and they were happy class.
several	she	She said she was so happy to see them.	She said she several was so happy to see them.
edit	move	The bus starts to move.	The bus starts to move edit.
association	her	She was surprised and showed her mom.	She was surprised and showed her association mom.
exchange	saw	When they began to walk around, she saw fake jewels.	When they began to walk around, she saw exchange fake jewels.
products	was	She was trying to protect you.	She was products trying to protect you.
bank	and	So they hopped into the car and drove off.	So they hopped into the car and bank drove off.
remember	down	They sat down together and opened the dictionary.	They sat down remember together and opened the dictionary.
collection	it	She decided to steal it when Lily wasn't looking.	She decided to steal it collection when Lily wasn't looking.
pictures	sat	He sat outside his hut and smiled at the sun.	He sat pictures outside his hut and smiled at the sun.
living	Sarah	Sarah thought about what the voice said.	Sarah living thought about what the voice said.
old	playing	They were laughing and playing, and she smiled to herself.	They were laughing and playing old, and she smiled to herself.
program	Ben	Ben screams and cries.	Ben program screams and cries.
jul	did	He did not want his car to grow.	He did jul not want his car to grow.
trade	the	But their favorite thing was to play with the pumpkins.	But their favorite thing was to play with the trade pumpkins.
digital	feel	Tim wanted to help Sue feel better.	Tim wanted to help Sue feel digital better.
top	that	Jack could tell that the bandage was very flexible.	Jack could tell that top the bandage was very flexible.
reviews	the	She loved to play in the park with her friends.	She loved to play in the reviews park with her friends.
added	of	The boat stopped in front of it.	The boat stopped in front of added it.
card	a	You are a mean animal!	You are a card mean animal!
hardware	sad	Ben was sad.	Ben was sad hardware.
forums	is	It is taller than Ben.	It is forums taller than Ben.
michael	was	Daisy was very busy everyday.	Daisy was michael very busy everyday.
around	looked	So the little boy looked up at the roof.	So the little boy looked around up at the roof.
unit	does	It does not fit.	It does unit not fit.
forum	purple	She had a toy chest that was big and purple.	She had a toy chest that was big and purple forum.
sex	upon	Once upon a time, there was a lively dancer.	Once upon sex a time, there was a lively dancer.
upon	so	Who are you?â€ Bob was so surprised!	Who are you? â €Bob was so upon surprised!
advertise	bright	The yellow and orange sky was so bright and cute.	The yellow and orange sky was so bright advertise and cute.
minutes	he	He sang even when he was scared.	He sang even when he minutes was scared.
annual	Lila	Lila reached the top of the slide and looked down.	Lila annual reached the top of the slide and looked down.
day	They	They look at the dog.	They day look at the dog.
brand	But	But Ben likes rain.	But brand Ben likes rain.
quality	wet	It is dark and wet.	It is dark and wet quality.
advertise	events	He liked to test events and see how they went.	He liked to test events advertise and see how they went.
final	but	They wanted to try it, but there was a problem.	They wanted to try it, but final there was a problem.
above	is	Tom is scared.	Tom is above scared.
america	She	She liked to play with Spot.	She america liked to play with Spot.
poker	for	He also felt sorry for the cat.	He also felt sorry for poker the cat.
summary	was	Once upon a time there was a big girl.	Once upon a time there was summary a big girl.
london	the	As the days went by, the seed started to grow.	As the london days went by, the london seed started to grow.
order	not	Mommy is not here.	Mommy is not order here.
cases	rusty	It is broken and rusty.	It is broken and rusty cases.
year	hugged	They hugged each other, and walked back to their ship.	They hugged year each other, and walked back to their ship.
king	What	What are you?	What king are you?
needed	The	The little seeds would grow into new trees.	The needed little seeds would grow into new trees.
center	liked	Anna liked to learn new things.	Anna liked center to learn new things.
views	They	They have a good day.	They views have a good day.
natural	His	His mom was amazed by the colorful tuna.	His natural mom was amazed by the colorful tuna.
information	day	He loved to play with his toys all day long.	He loved to play with his toys all day information long.
plan	weren't	She always asked permission before taking things that weren't hers.	She always asked permission before taking things that weren't plan hers.
credit	trusted	She trusted her mom.	She trusted credit her mom.
tell	share	He does not want to share.	He does not want to share tell.
board	with	It was glowing with many colors.	It was glowing with board many colors.
want	and	They have many colors and sounds.	They have many colors and want sounds.
research	the	Out of the deep sea came a skeleton!	Out of the research deep sea came a skeleton!
tickets	and	The dove and girl stared at each other.	The dove and tickets girl stared at each other.
means	worker	He is a worker.	He is a worker means.
jul	to	She wanted to escape!	She wanted to jul escape!
times	until	He chewed and chewed until it was all gone.	He chewed and chewed until times it was all gone.
back	strong	Dad pored the hot, strong coffee into two cups.	Dad pored the hot, strong back coffee into two cups.
problems	It	It sees Tom and Jen.	It problems sees Tom and Jen.
australia	The	The bump was bad.	The australia bump was bad.
past	is	The big boy is mad.	The big boy is past mad.
even	felt	Lily felt proud of herself for doing the right thing.	Lily felt even proud of herself for doing the right thing.
sep	Ben	Lily and Ben learned their lesson.	Lily and Ben sep learned their lesson.
nature	could	They could not find the stairs.	They could nature not find the stairs.
beach	us	Can you hear us?	Can you hear us beach?
details	Tim	Tim went back to his house, tired but happy.	Tim details went back to his house, tired but happy.
life	John	John sadly returned to his house, all alone.	John life sadly returned to his house, all alone.
share	liked	They liked to play in the park.	They liked share to play in the park.
about	They	They had made a big mess.	They about had made a big mess.
while	She	She zipped up her coat and left it alone.	She while zipped up her coat and left it alone.
comment	and	Mom and dad are happy.	Mom and comment dad are happy.
keep	loved	She loved to play games with her friends.	She loved keep to play games with her friends.
golf	got	The girl got on the train and made a request.	The girl got golf on the train and made a request.
online	He	He made funny noises.	He online made funny noises.
type	and	The boy was very frustrated and anxious.	The boy was very frustrated and type anxious.
title	bit	The dog got scared and bit Timmy.	The dog got scared and bit title Timmy.
via	gone	They are gone.	They are gone via.
