input1	input2	input3	label
c	s	members	membersc
m	e	power	powemr
b	l	while	whilbe
e	r	care	caree
a	e	network	neatwork
s	w	down	dowsn
w	p	computer	compwuter
j	t	systems	systjems
z	e	three	threzez
y	a	total	totayl
i	a	place	plaice
r	n	end	enrd
a	n	following	followinag
w	d	download	dwownloadw
z	h	him	hzim
e	w	without	weithout
v	r	per	perv
y	e	access	acceyss
z	h	think	thzink
m	h	north	northm
t	o	resources	resoturces
u	c	current	cuurrent
r	o	posts	porsts
w	b	big	bwig
t	m	media	mtedia
y	a	law	layw
k	o	control	cokntrokl
i	t	water	watier
a	i	history	hiastory
k	p	pictures	pkictures
d	z	size	sizde
i	t	art	arti
m	a	personal	personaml
t	n	since	sintce
y	u	including	incluyding
k	d	guide	guidke
t	o	shop	shotp
u	r	directory	diruectoruy
l	a	board	boalrd
u	t	location	locatuion
q	g	change	changqe
s	i	white	whiste
l	x	text	texlt
i	a	small	smaill
i	a	rating	raiting
v	r	rate	rvate
a	r	government	goveranment
s	d	children	childsren
m	g	during	duringm
w	a	usa	usaw
s	n	return	returns
b	d	students	studbents
t	s	shopping	sthopping
m	o	account	accomunt
c	t	times	tcimes
o	i	sites	siotes
s	l	level	lsevels
x	d	digital	dxigital
t	r	profile	prtofile
p	o	previous	previopus
b	r	form	forbm
r	n	events	evenrts
j	l	love	ljove
b	o	old	obld
l	j	john	jlohn
d	a	main	madin
x	l	call	calxlx
d	o	hours	hodurs
l	e	image	imagel
j	d	department	djepartment
w	t	title	twitwle
s	p	description	descripstion
d	o	non	nodn
n	a	insurance	insurannce
v	e	another	anothevr
p	w	why	wphy
c	l	shall	shalclc
l	y	property	propertyl
f	a	class	clafss
c	s	still	sctill
h	n	money	monhey
r	a	quality	quarlity
c	r	every	evercy
i	t	listing	listiing
q	n	content	conqtenqt
q	r	country	countrqy
a	e	private	privatea
l	t	little	litltlle
z	i	visit	vizsizt
f	e	save	savef
i	o	tools	toioils
k	w	low	lowk
o	y	reply	replyo
y	r	customer	customery
f	d	december	dfecember
k	c	compare	ckompare
q	s	movies	moviesq
v	l	include	inclvude
z	l	college	colzlzege
g	v	value	vgalue
h	i	article	artihcle
x	r	york	yorxk
g	a	man	magn
z	d	card	cardz
m	b	jobs	jobms
k	e	provide	providek
r	f	food	frood
b	o	source	soburce
r	o	author	authorr
z	f	different	difzfzerent
d	r	press	prdess
k	a	learn	leakrn
n	a	sale	sanle
x	a	around	axround
x	t	print	printx
d	u	course	coudrse
g	b	job	jobg
w	d	canada	canadwa
e	r	process	preocess
z	e	teen	tezezn
c	m	room	roomc
r	k	stock	stockr
u	g	training	trainingu
u	t	too	tuoo
m	r	credit	crmedit
n	p	point	pnoint
w	n	join	joinw
o	c	science	scoiencoe
c	m	men	mcen
y	t	categories	catyegories
h	n	advanced	advanhced
p	w	west	wpest
g	e	sales	salegs
s	l	look	lsook
o	s	english	englisoh
h	l	left	lheft
d	t	team	tdeam
r	a	estate	estarte
v	o	box	bovx
k	d	conditions	condkitions
o	c	select	selecot
y	d	windows	windyows
z	t	photos	photzos
f	y	gay	gayf
i	r	thread	thriead
n	w	week	wneek
z	t	category	catzegory
j	o	note	nojte
g	i	live	ligve
d	e	large	larged
x	a	gallery	gaxllery
y	l	table	tablye
g	e	register	reggistegr
p	e	however	howepvepr
n	n	june	junne
p	e	october	octobepr
t	n	november	ntovember
p	r	market	marpket
b	i	library	libbrary
f	e	really	refally
o	n	action	actiono
w	s	start	swtart
c	i	series	serices
j	d	model	modjel
i	f	features	fieatures
t	r	air	airt
s	u	industry	indusstry
z	p	plan	pzlan
l	a	human	humaln
r	e	provided	providerd
h	s	yes	yesh
d	r	required	rdequirded
z	s	second	szecond
k	h	hot	hkot
b	s	accessories	accesbsboriesb
q	c	cost	cqost
d	e	movie	movied
m	u	forums	forumms
j	h	march	marchj
z	s	september	szeptember
c	t	better	betctcer
h	y	say	sayh
f	t	questions	questfions
m	l	july	julmy
e	a	yahoo	yaehoo
k	n	going	goinkg
c	e	medical	mecdical
y	e	test	teyst
d	d	friend	friendd
y	e	come	comey
f	e	dec	defc
v	s	server	sverver
u	d	study	studuy
o	l	application	apploication
k	a	cart	cakrt
t	t	staff	sttaff
n	i	articles	artincles
y	s	san	syan
n	a	feedback	feedbanck
b	n	again	againb
a	a	play	plaay
a	i	looking	lookiang
a	s	issues	isasauesa
n	p	april	apnril
t	n	never	ntever
i	r	users	useris
p	e	complete	compleptep
u	t	street	stureetu
w	t	topic	twopic
k	o	comment	cokmment
z	c	financial	financzial
l	g	things	thingls
o	r	working	woroking
v	i	against	agaivnst
h	t	standard	sthandard
d	a	tax	tadx
a	e	person	pearson
k	b	below	bkelow
f	o	mobile	mofbile
b	e	less	lebss
k	g	got	gkot
h	l	blog	blhog
c	p	party	pcarty
d	a	payment	padyment
y	i	equipment	equiypment
w	o	login	lowgin
s	d	student	studsent
o	t	let	leto
e	s	programs	programse
t	e	offers	offetrs
t	a	legal	legatl
u	o	above	abouve
h	t	recent	recenth
t	k	park	parkt
r	e	stores	storers
z	d	side	sidze
f	a	act	afct
j	l	problem	probljem
j	d	red	redj
d	e	give	gived
t	e	memory	metmory
a	a	performance	performaance
w	i	social	sociwal
e	s	august	auguset
y	u	quote	quyote
f	e	language	languagef
q	o	story	stoqry
p	e	sell	sepll
t	n	options	optionts
h	x	experience	exhperience
n	e	rates	ratens
u	c	create	cureate
k	k	key	kkey
s	o	body	bosdy
a	o	young	yoaung
i	i	america	ameriica
g	o	important	impogrtant
o	f	field	foield
v	e	few	fevw
l	t	east	eastl
s	e	paper	papesr
v	i	single	sivngle
o	e	age	ageo
p	c	activities	acptivities
b	b	club	clubb
q	l	example	examplqe
x	r	girls	girxls
b	t	additional	additbional
q	a	password	paqssword
q	e	latest	lateqst
a	h	something	somethaing
z	a	road	roazd
p	i	gift	gipft
c	u	question	qucestion
t	h	changes	chtanges
g	n	night	ngight
n	a	hard	hanrd
y	s	texas	texasy
t	t	oct	octt
y	y	pay	payy
o	r	four	fouro
x	o	poker	poxker
r	u	status	staturs
j	w	browse	browjse
d	e	issue	issued
o	a	range	raonge
x	u	building	buxilding
d	l	seller	seldlder
t	t	court	courtt
r	r	february	febrruarry
r	l	always	alrways
p	s	result	respult
v	u	audio	auvdio
l	i	light	lilght
z	e	write	writez
g	w	war	wgar
f	v	nov	novf
j	e	offer	offejr
b	l	blue	blbue
g	u	groups	grougps
p	e	easy	epasy
r	n	given	givenr
l	s	files	filesl
s	n	event	evenst
h	s	release	releashe
r	y	analysis	analyrsis
z	u	request	requzest
a	f	fax	faax
w	a	china	chinaw
b	g	making	makingb
t	c	picture	pictture
m	s	needs	needsm
l	i	possible	possilble
e	h	might	mighet
r	e	professional	proferssional
a	y	yet	yaet
r	m	month	mronth
x	a	major	maxjor
z	s	star	sztar
r	e	areas	areras
u	r	future	futurue
z	a	space	spazce
h	m	committee	comhmhittee
s	n	hand	hansd
g	s	sun	sgun
v	r	cards	carvds
e	m	problems	problemes
s	d	london	londson
m	o	washington	washingtomn
h	i	meeting	meetihng
x	r	rss	rxss
j	m	become	becomje
s	r	interest	intersest
e	d	child	childe
r	e	keep	kererp
k	r	enter	enterk
j	i	california	calijfornija
c	r	porn	porcn
u	e	share	shareu
l	s	similar	slimilar
n	e	garden	gardenn
i	l	schools	schoolis
y	l	million	milylyion
z	d	added	adzdzedz
r	e	reference	rerferrerncer
u	m	companies	comupanies
a	s	listed	lisated
s	a	baby	basby
y	i	learning	learniyng
v	n	energy	envergy
p	n	run	runp
i	r	delivery	deliveriy
f	n	net	nfet
v	r	popular	popularv
m	m	term	termm
q	m	film	filmq
v	s	stories	svtoriesv
w	t	put	putw
v	p	computers	compvuters
a	u	journal	jouarnal
a	e	reports	reaports
r	t	try	trry
c	e	welcome	weclcomec
h	t	central	centhral
n	g	images	imagnes
e	n	president	presidenet
w	e	notice	noticew
k	d	god	godk
n	g	original	origninal
u	d	head	headu
n	o	radio	radion
t	n	until	unttil
r	l	cell	celrlr
v	r	color	colorv
t	s	self	stelf
a	l	council	councila
k	w	away	awkay
o	i	includes	ioncludes
k	k	track	trackk
z	l	australia	australzia
u	d	discussion	duiscussion
w	a	archive	awrchive
w	e	once	oncew
m	t	others	otmhers
d	t	entertainment	entdertdainmentd
g	g	agreement	aggreement
s	a	format	formast
a	s	least	leasat
j	c	society	socjiety
e	n	months	moneths
d	o	log	lodg
h	f	safety	safhety
b	d	friends	friendbs
i	e	sure	surei
x	q	faq	faqx
r	t	trade	trrade
r	n	edition	editionr
s	c	cars	csars
w	a	messages	messawges
h	m	marketing	mharketing
d	l	tell	teldld
l	e	further	furthelr
u	p	updated	upudated
f	c	association	assocfiation
i	l	able	ablie
p	g	having	havingp
s	i	provides	provisdes
n	d	david	dnavidn
y	n	fun	funy
c	l	already	alcready
a	g	green	gareen
o	t	studies	stoudies
b	l	close	clbose
h	o	common	cohmmohn
v	v	drive	drivve
s	p	specific	spsecific
m	l	several	severalm
z	o	gold	gozld
g	f	feb	fgeb
t	i	living	litvitng
e	s	sep	seep
p	i	collection	collectipon
t	e	called	calletd
m	t	short	shortm
m	s	arts	artsm
y	t	lot	loty
n	s	ask	asnk
w	d	display	dwisplay
p	e	limited	limitepd
a	p	powered	paowered
f	u	solutions	soluftions
z	m	means	mzeans
j	r	director	dirjectorj
b	l	daily	dailby
m	h	beach	beachm
q	t	past	pastq
e	l	natural	naturale
s	w	whether	wshether
e	u	due	duee
w	e	electronics	ewlewctronics
a	i	five	fiave
h	p	upon	uphon
v	e	period	pevriod
n	i	planning	planninng
t	s	database	databaste
k	s	says	skaysk
c	o	official	ocfficial
u	h	weather	weathuer
v	r	mar	marv
s	l	land	lsand
i	e	average	aveiragei
h	n	done	donhe
s	t	technical	tsechnical
e	n	window	winedow
o	c	france	francoe
v	r	pro	prvo
w	g	region	regwion
a	a	island	islaand
j	o	record	recojrd
w	i	direct	diwrect
q	m	microsoft	mqicrosoft
g	o	conference	cognference
p	t	environment	environmentp
b	d	records	recordbs
x	s	district	disxtrict
u	c	calendar	cualendar
e	c	costs	ceosts
b	e	style	styleb
i	u	url	uirl
j	o	front	frojnt
p	t	statement	stpatpementp
z	d	update	updzate
d	p	parts	pdarts
p	a	aug	apug
b	e	ever	ebvebr
v	o	downloads	dovwnlovads
q	e	early	eqarly
s	l	miles	milses
n	u	sound	sounnd
k	u	resource	resoukrce
f	p	present	pfresent
m	p	applications	apmpmlications
o	t	either	eitoher
g	o	ago	agog
u	d	document	duocument
n	d	word	wordn
b	w	works	wborks
a	t	material	mataerial
u	i	bill	biull
u	a	apr	aupr
y	n	written	writteny
w	k	talk	talkw
e	f	federal	feederal
p	t	hosting	hostping
j	r	rules	rjules
x	a	final	finaxl
o	t	adult	adulto
w	e	tickets	tickewts
o	i	thing	thiong
s	n	centre	censtre
q	t	requirements	requirementqs
o	v	via	voia
d	e	cheap	chedap
p	e	nude	nudep
d	i	kids	kidds
i	f	finance	fiinance
x	t	true	txrue
n	s	minutes	minutesn
n	e	else	enlsen
q	a	mark	maqrk
m	r	third	thirmd
j	o	rock	rojck
f	f	gifts	giffts
e	p	europe	europee
c	a	reading	reacding
e	t	topics	teopics
e	a	bad	baed
p	l	individual	individualp
n	s	tips	tipsn
y	s	plus	plusy
t	t	auto	autto
e	r	cover	covere
c	y	usually	usuallyc
x	t	edit	editx
f	t	together	tfogetfher
a	i	videos	viadeos
y	n	percent	percenyt
v	f	fast	fvast
v	t	function	functvion
k	c	fact	fackt
d	t	unit	unitd
i	t	getting	getitiing
m	b	global	globmal
b	c	tech	tecbh
h	m	meet	mheet
k	f	far	fkar
f	e	economic	efconomic
f	a	player	plafyer
t	c	projects	projectts
g	s	lyrics	lyricsg
w	o	often	owften
h	s	subscribe	shubshcribe
s	i	submit	submist
x	n	germany	germanxy
g	m	amount	amgount
p	t	watch	watpch
s	d	included	includseds
v	l	feel	feelv
f	h	though	thfoughf
s	k	bank	banks
b	s	risk	risbk
k	h	thanks	thkanks
g	y	everything	everygthing
t	a	deals	deatls
h	u	various	variouhs
b	d	words	wordbs
j	l	linux	ljinux
x	j	jul	jxul
u	i	production	productiuon
i	l	commercial	commerciali
s	s	james	jamess
b	w	weight	wbeight
f	o	town	tofwn
u	h	heart	hueart
y	e	advertising	adveyrtising
t	i	received	receitved
x	e	choose	choosex
v	n	treatment	treatmenvt
j	n	newsletter	njewsletter
l	e	archives	archivels
i	o	points	poiints
e	e	knowledge	knowleedgee
v	a	magazine	mavgavzine
m	e	error	emrror
c	c	camera	ccamera
k	j	jun	jkun
n	i	girl	ginrl
w	t	currently	currentwly
n	r	construction	constrnuction
i	t	toys	tioys
t	g	registered	regtistered
u	c	clear	culear
f	o	golf	goflf
s	i	receive	receisve
t	i	domain	domaitn
j	e	methods	mejthods
f	t	chapter	chaptfer
c	m	makes	mcakes
d	n	protection	protectiond
o	l	policies	poloicies
i	o	loan	loian
a	i	wide	wiade
e	e	beauty	beeauty
d	m	manager	mdanager
n	a	india	indian
s	o	position	possitiosn
q	e	taken	takeqn
x	o	sort	soxrt
l	n	listings	listinlgs
n	o	models	mondels
n	m	michael	mnichael
m	n	known	knmownm
v	a	half	havlf
s	a	cases	casses
y	e	step	steyp
t	e	engineering	etnginetetring
m	a	florida	floridam
s	e	simple	simples
n	u	quick	qunick
l	n	none	nlonle
v	s	wireless	wirelesvsv
l	s	license	licensle
t	p	paul	ptaul
b	a	friday	fridaby
s	e	lake	lakes
t	o	whole	whotle
m	u	annual	annumal
h	u	published	puhblished
f	l	later	lfater
h	b	basic	bhasic
j	y	sony	sonyj
u	o	shows	shouws
i	o	corporate	coirpoirate
n	l	google	googlne
u	u	church	chuurch
t	d	method	methodt
r	e	purchase	purchaser
v	t	customers	custvomers
r	v	active	activre
r	o	response	respornse
d	p	practice	pdractice
c	e	hardware	hardwarec
k	e	figure	figurek
e	m	materials	meaterials
h	r	fire	firhe
a	l	holiday	holaiday
f	t	chat	chatf
k	n	enough	enkough
n	g	designed	designned
b	n	along	alonbg
t	n	among	amontg
j	d	death	djeath
e	r	writing	wreiting
k	p	speed	spkeed
a	l	html	htmla
s	n	countries	counstries
d	s	loss	losdsd
e	c	face	facee
f	d	brand	brandf
k	u	discount	discouknt
b	r	higher	higherb
g	e	effects	egffegcts
x	d	created	createdx
d	b	remember	remembder
l	r	standards	standarlds
d	i	oil	oidl
y	t	bit	bity
r	w	yellow	yellowr
r	i	political	polirtircal
y	r	increase	incryease
e	t	advertise	adverteise
p	d	kingdom	kingdpom
b	s	base	basbe
g	n	near	ngear
i	a	environmental	environmentail
j	g	thought	thougjht
r	t	stuff	struff
t	r	french	frtench
v	a	storage	storavge
s	a	japan	jaspasn
u	n	doing	doinug
g	n	loans	loangs
k	s	shoes	skhoesk
n	r	entry	entrny
w	a	stay	stawy
d	n	nature	ndature
f	e	orders	ordefrs
i	b	availability	availabiility
h	f	africa	afhrica
v	r	summary	summarvy
d	r	turn	turdn
e	e	mean	meean
j	r	growth	grjowth
l	o	notes	noltes
c	c	agency	agenccy
u	k	king	kuing
j	o	monday	mojnday
u	p	european	europuean
j	c	activity	acjtivity
q	p	copy	copqy
h	u	although	althouhgh
e	d	drug	derug
z	s	pics	picsz
u	n	western	westernu
z	i	income	izncome
d	c	force	forcde
a	a	cash	caash
p	p	employment	empployment
w	l	overall	overalwlw
c	b	bay	bcay
k	r	river	rkiverk
i	m	commission	comimiission
h	c	package	pachkage
d	s	contents	contentsd
m	e	seen	sememn
x	e	players	playexrs
f	n	engine	enfginfe
j	t	port	portj
g	a	album	aglbum
k	l	regional	regionalk
k	t	stop	stkop
h	s	supplies	shuppliesh
n	e	started	startend
k	s	administration	adminisktration
c	a	bar	bacr
w	s	institute	inswtitute
f	v	views	vfiews
a	n	plans	planas
s	b	double	doubsle
j	d	dog	djog
h	b	build	bhuild
u	e	screen	screueun
v	g	exchange	exchangve
f	y	types	tyfpes
m	s	soon	smoon
w	e	sponsored	sponsorewd
z	l	lines	lzines
m	r	electronic	electrmonic
m	o	continue	comntinue
b	r	across	acrboss
d	b	benefits	bdenefits
l	e	needed	neleldeld
k	o	season	seasokn
n	l	apply	applny
f	m	someone	somfeone
i	d	held	heldi
p	i	anything	anythipng
w	i	printer	priwnter
h	t	condition	condithion
x	c	effective	effecxtive
n	l	believe	belnieve
