input1	input2	label
Anna	Anna felt like crying.	felt like crying.
a	Once upon a time, there was a furry lion.	Once upon time, there was furry lion.
Lily	Lily and Ben were curious.	and Ben were curious.
hugged	He hugged her.	He her.
Maybe	Maybe it is still on the road.	it is still on the road.
not	Tom did not like to play or run.	Tom did like to play or run.
big	Benny had a big opinion about carrots, he loved them!	Benny had a opinion about carrots, he loved them!
with	He runs away with Lily.	He runs away Lily.
listen	Ben does not listen.	Ben does not.
her	But then, Sophie's dad came over to her.	But then, Sophie's dad came over to.
favorite	This is one of their favorite stories about Rudolph!	This is one of their stories about Rudolph!
smiled	The little girl smiled.	The little girl.
skin	She loved the feeling of the rain on her skin.	She loved the feeling of the rain on her.
Tim	Tim learned to listen next time.	learned to listen next time.
cereals	She went to the kitchen and saw two cereals.	She went to the kitchen and saw two.
drink	Timmy loved to drink juice.	Timmy loved to juice.
face	The face smiled and nodded its head.	The smiled and nodded its head.
playing	Tom and Lily are playing in the park.	Tom and Lily are in the park.
dad	His dad laughed.	His laughed.
the	She fell when she ran from the dog.	She fell when she ran from dog.
wove	Together, they wove a beautiful rainbow pattern into the sky.	Together, they a beautiful rainbow pattern into the sky.
opera	One day, the two friends went to the opera.	One day, the two friends went to the.
and	Sparkles were shooting out from the town and everyone cheered.	Sparkles were shooting out from the town everyone cheered.
very	The prince was very kind and loved to help others.	The prince was kind and loved to help others.
Lily	Anna and Ben and Lily listen to their mom.	Anna and Ben and listen to their mom.
Mary	Mary took many steps forward, discovering new places and things.	took many steps forward, discovering new places and things.
sad	Ben felt sad and angry.	Ben felt and angry.
always	Jack always remembered.	Jack remembered.
proud	Finny was so proud of his find.	Finny was so of his find.
of	They wanted to get out of the cave.	They wanted to get out the cave.
and	Tim and Sam were friends.	Tim Sam were friends.
He	He liked to be a knight and defend it.	liked to be a knight and defend it.
after	He ran after Lily and tried to grab the net.	He ran Lily and tried to grab the net.
always	They were always encouraging each other.	They were encouraging each other.
They	They hear a noise.	hear a noise.
dress	It is a dress.	It is a.
œItâ	Her grandma said, â€œItâ€™s my birthday party!	Her grandma said, â €€™ s my birthday party!
Jack	Jack felt sad because he knew he didn't behave well.	felt sad because he knew he didn't behave well.
time	Once upon a time there was a lucky figure.	Once upon a there was a lucky figure.
showed	She showed them their room.	She them their room.
their	The girls were so proud of their work.	The girls were so proud of work.
it	â€œLetâ€™s go and look at it,â€ said Mandy.	â €œLetâ €™ s go and look at, â €said Mandy.
shivered	He shivered and quickly looked back.	He and quickly looked back.
and	Jennifer calmed down and smiled.	Jennifer calmed down smiled.
was	He was a very bad barber.	He a very bad barber.
They	They do not want any gum.	do not want any gum.
to	They want to have their own way.	They want have their own way.
seen	Alex had never seen him from before.	Alex had never him from before.
nearby	Suddenly, he noticed something shining in a nearby bush.	Suddenly, he noticed something shining in a bush.
time	Once upon a time, there was a boy called John.	Once upon a, there was a boy called John.
spear	He threw the spear at the rabbit and hit it.	He threw the at the rabbit and hit it.
yard	They find a lot of junk in the yard.	They find a lot of junk in the.
a	Finally, they found it in a park.	Finally, they found it in park.
nodded	Jane nodded and smiled.	Jane and smiled.
say	Sara and Tom say they are sorry.	Sara and Tom they are sorry.
duck	He thanks the duck and takes his ball.	He thanks the and takes his ball.
took	She quickly took off the hat and ran inside.	She quickly off the hat and ran inside.
play	She loved to explore and play outside.	She loved to explore and outside.
into	Lily's mom heard her singing and came into the room.	Lily's mom heard her singing and came the room.
near	He held the magnet near a metal spoon.	He held the magnet a metal spoon.
to	The balloon starts to rise in the air.	The balloon starts rise in the air.
to	He thought to himself.	He thought himself.
One	One day, Tom was at the park with his Mom.	day, Tom was at the park with his Mom.
his	He licks his mouth.	He licks mouth.
should	You should be grateful for what you have.	You be grateful for what you have.
Lily	Lily was sad and started to cry.	was sad and started to cry.
also	But he also likes to play with his stand.	But he likes to play with his stand.
scared	He was scared and cold.	He was and cold.
did	They did not see the big wave coming.	They not see the big wave coming.
sad	Anna is sad.	Anna is.
She	She thought it was nice, but she was hungry.	thought it was nice, but she was hungry.
It	It seemed to be a glass box.	seemed to be a glass box.
of	They saw the pile of leaves gone.	They saw the pile leaves gone.
satisfied	He took a big bite and was very satisfied.	He took a big bite and was very.
a	She was very excited as she had a special surprise.	She was very excited as she had special surprise.
was	He was big and round.	He big and round.
much	She loved horses very much.	She loved horses very.
Sammy	Sammy cautiously nodded.	cautiously nodded.
and	Lisa giggled and took out her camera.	Lisa giggled took out her camera.
you	Lazy makes you sad and grumpy.	Lazy makes sad and grumpy.
go	She scolded Ben and told him to go away.	She scolded Ben and told him to away.
get	They get to the slide first.	They to the slide first.
and	Tim and Tom look at each other.	Tim Tom look at each other.
The	The lady told him stories and they laughed together.	lady told him stories and they laughed together.
fun	Lily and Ben had lots of fun drawing together.	Lily and Ben had lots of drawing together.
They	They were angry and making loud noises.	were angry and making loud noises.
looked	They looked at their work and smiled.	They at their work and smiled.
her	The beautiful bird felt sad that her magazine was gone.	The beautiful bird felt sad that magazine was gone.
played	Lily and Spot played in the grass all day long.	Lily and Spot in the grass all day long.
And	And they both enjoyed their soup.	they both enjoyed their soup.
front	She saw a big, furry animal in front of her.	She saw a big, furry animal in of her.
I	I love you too.	love you too.
sees	She sees the note.	She the note.
very	It is very cute.	It is cute.
play	They liked to play together in the park.	They liked to together in the park.
and	They pull and push.	They pull push.
Milo	Milo woke up, and saw Lily crying.	woke up, and saw Lily crying.
She	She wanted to succeed.	wanted to succeed.
time	Once upon a time, everywhere was dark.	Once upon a, everywhere was dark.
Why	Why are you yelling and fighting?	are you yelling and fighting?
couldn't	Toby couldn't wait!	Toby wait!
tried	He tried hard, and finally got the rhythm right.	He hard, and finally got the rhythm right.
roared	He was deaf and roared at her.	He was deaf and at her.
You	You are very naughty!	are very naughty!
help	Bob was happy to help.	Bob was happy to.
little	Once there was a little girl named Bella.	Once there was a girl named Bella.
old	The wise old man was so proud of his masterpiece.	The wise man was so proud of his masterpiece.
She	She picked up her ball and threw it to Spot.	picked up her ball and threw it to Spot.
make	So, he decided to make a costume.	So, he decided to a costume.
Her	Her mom smiled at her and said, â€œSee?	mom smiled at her and said, â €œSee?
it	They wanted to climb it.	They wanted to climb.
in	They set up a tent in the woods.	They set up a tent the woods.
mom	She did not want to make her mom sad.	She did not want to make her sad.
beautiful	They were so beautiful.	They were so.
pages	They liked to play with rocks and pages.	They liked to play with rocks and.
bad	That is very bad!	That is very!
Tom	One day, Tom has a gift for Anna.	One day, has a gift for Anna.
and	She was so happy and yelled out for joy!	She was so happy yelled out for joy!
some	Inside, they found some candy and a funny toy!	Inside, they found candy and a funny toy!
ran	She ran over to him and told him another joke.	She over to him and told him another joke.
watched	The little boy nodded and watched as his mom entered.	The little boy nodded and as his mom entered.
fox	Suddenly, the fox heard a deep voice.	Suddenly, the heard a deep voice.
going	They worked hard, but things weren't going very well.	They worked hard, but things weren't very well.
sun	Mia liked to play outside in the sun.	Mia liked to play outside in the.
new	She learned something new and had fun.	She learned something and had fun.
You	You are good at marking.	are good at marking.
seeing	John liked seeing how friendly the church was.	John liked how friendly the church was.
It	It wanted to take their ball.	wanted to take their ball.
away	The butterfly flew away but Jimmy kept staring.	The butterfly flew but Jimmy kept staring.
stirred	She stirred and stirred until Finally, something happened.	She and until Finally, something happened.
Tom	Tom wanted to play with his car on the floor.	wanted to play with his car on the floor.
girl	The little girl was excited to have her special shell.	The little was excited to have her special shell.
is	The man is angry.	The man angry.
Max	Max tried to pull himself free, but he couldn't.	tried to pull himself free, but he couldn't.
was	Lucy was very sad and cried.	Lucy very sad and cried.
weird	It was weird and shiny.	It was and shiny.
cat	The cat was very sad.	The was very sad.
on	Lily smiled and bounced on her ball.	Lily smiled and bounced her ball.
did	He did not want to be friends with Jill anymore.	He not want to be friends with Jill anymore.
of	He came out of his doghouse and licked her hand.	He came out his doghouse and licked her hand.
Whiskers	Spot and Whiskers smiled, proud of their hard work.	Spot and smiled, proud of their hard work.
enjoyed	She enjoyed playing by the sea and watching the waves.	She playing by the sea and watching the waves.
girl	He turned and saw a little girl standing there.	He turned and saw a little standing there.
Tom's	Tom's mom gave Snow some fish to eat.	mom gave Snow some fish to eat.
with	He said he wanted to share his joy with someone.	He said he wanted to share his joy someone.
bird	John slowly turned his head and saw a large bird.	John slowly turned his head and saw a large.
wet	She takes a wet cloth and wipes their faces.	She takes a cloth and wipes their faces.
at	He looked at his friend Lily.	He looked his friend Lily.
She	She is happy.	is happy.
anymore	She wasn't worried anymore.	She wasn't worried.
her	But some of her friends were competitive too.	But some of friends were competitive too.
and	She claps her hands and jumps up and down.	She claps her hands jumps up down.
flowers	We can decorate it with the flowers.	We can decorate it with the.
a	She had a pretty blouse that she liked to wear.	She had pretty blouse that she liked to wear.
Timmy	But now, everything was gone and Timmy was sad.	But now, everything was gone and was sad.
snowballs	They make snowballs and snowmen and snow forts.	They make and snowmen and snow forts.
dinosaur	The dinosaur broke in half.	The broke in half.
not	He did not want to lose his wool.	He did want to lose his wool.
and	So, Lily and her friends went up to the roof.	So, Lily her friends went up to the roof.
cried	She screamed and cried.	She screamed and.
to	She carried the mug back to the table.	She carried the mug back the table.
away	Her brother had already passed away.	Her brother had already passed.
They	They each picked one.	each picked one.
it	He started by gathering shiny, thick rail to make it.	He started by gathering shiny, thick rail to make.
where	He saw a bench where Lila's mom was sitting.	He saw a bench Lila's mom was sitting.
to	The group decided to try and get the diamond back.	The group decided try and get the diamond back.
big	He made a big mess.	He made a mess.
But	But Lily didn't care.	Lily didn't care.
the	Inside the school, Lucy saw a big moving file.	Inside school, Lucy saw a big moving file.
the	She stirred the soup.	She stirred soup.
Mommy	Mommy watered the plants.	watered the plants.
too	They hope the owl will like his cake too.	They hope the owl will like his cake.
could	Bow was happy he could help his new friend.	Bow was happy he help his new friend.
in	One day, she saw a pony in the park.	One day, she saw a pony the park.
he	They asked him if he wanted to play with them.	They asked him if wanted to play with them.
The	The man helps them get in the basket.	man helps them get in the basket.
house	She loved to visit her grandma's house.	She loved to visit her grandma's.
noise	It makes a loud noise.	It makes a loud.
every	She loved to read books every day.	She loved to read books day.
The	The wind blew harder.	wind blew harder.
They	They laugh and giggle.	laugh and giggle.
admire	She wanted to stay forever and admire the lab.	She wanted to stay forever and the lab.
at	The friends looked at each other in confusion.	The friends looked each other in confusion.
He	He walked to the armchair and peeked behind it.	walked to the armchair and peeked behind it.
She	She sat down on the grass and closed her eyes.	sat down on the grass and closed her eyes.
in	He wanted to sleep in his bed.	He wanted to sleep his bed.
dizzy	Lily felt dizzy and scared.	Lily felt and scared.
and	The tiger listened and left.	The tiger listened left.
shrunk	They had shrunk when they went through the hole.	They had when they went through the hole.
sign	It was a welcome sign.	It was a welcome.
appeared	Suddenly, a big, scary creature appeared!	Suddenly, a big, scary creature!
tried	John tried again.	John again.
spilled	She accidentally spilled it on the carpet.	She accidentally it on the carpet.
and	They nod and hug.	They nod hug.
too	But it was too late.	But it was late.
hill	Sarah ran up the hill as fast as she could.	Sarah ran up the as fast as she could.
rock	He saw a rock nearby and picked it up.	He saw a nearby and picked it up.
smiled	The girl smiled and waved goodbye.	The girl and waved goodbye.
They	They packed their bags and went on a camping vacation.	packed their bags and went on a camping vacation.
tight	She smiled and hugged him tight.	She smiled and hugged him.
and	She felt sad and sorry.	She felt sad sorry.
asked	The mouse asked him, â€œWhat do you want?	The mouse him, â €œWhat do you want?
didn't	She didn't like lectures and thought they were boring.	She like lectures and thought they were boring.
smart	They thought they were lucky and smart.	They thought they were lucky and.
fun	Ben thinks it looks fun.	Ben thinks it looks.
She	She did not want to play with Tom anymore.	did not want to play with Tom anymore.
something	But then, something bad happens.	But then, bad happens.
to	He knew it was better to be kind.	He knew it was better be kind.
boy	One day, she met a little boy named Jack.	One day, she met a little named Jack.
worried	Mom is worried.	Mom is.
I	I want the fish.	want the fish.
They	They like to play in the park.	like to play in the park.
his	Timmy asked his mommy what was in the mail.	Timmy asked mommy what was in the mail.
his	Tim loved to play outside with his toys.	Tim loved to play outside with toys.
troubled	Max was very troubled because he lost his bone.	Max was very because he lost his bone.
paint	Timmy spread paint all over his paper.	Timmy spread all over his paper.
Sara	Sara picks a card.	picks a card.
But	But it was too hard.	it was too hard.
happy	Everyone was happy and they all lived happily ever after.	Everyone was and they all lived happily ever after.
and	She was very small and her wings were green.	She was very small her wings were green.
their	They take their books and run back to the swings.	They take books and run back to the swings.
could	How could it get out of this?	How it get out of this?
gave	Mom said yes, and gave her the needle.	Mom said yes, and her the needle.
so	It was stuck so tightly that it couldn't move.	It was stuck tightly that it couldn't move.
was	Poppy was happy because she had learned something new today.	Poppy happy because she had learned something new today.
crystal	He looked around and saw a crystal!	He looked around and saw a!
and	The cat caught the little bird and ate him up.	The cat caught the little bird ate him up.
Tim	Tim was not hungry anymore.	was not hungry anymore.
skeleton	Once there was a skeleton.	Once there was a.
laughed	Everyone laughed at this, but the king was not amused.	Everyone at this, but the king was not amused.
They	They do not share the berries.	do not share the berries.
He	He reached down and found a gold hook!	reached down and found a gold hook!
came	One day, Timmy's friend came to visit him.	One day, Timmy's friend to visit him.
like	Tom did not like exams.	Tom did not exams.
worked	They worked together and built the fence.	They together and built the fence.
gives	He gives them the balloon.	He them the balloon.
flowers	It was white and blue and had flowers on it.	It was white and blue and had on it.
vroom	Vroom, vroom, beep, beep!	Vroom,, beep, beep!
There	There were many people and noises.	were many people and noises.
things	He liked modern things.	He liked modern.
for	They say they are ready for the baby.	They say they are ready the baby.
his	Spot barked and wagged his tail.	Spot barked and wagged tail.
pieces	It broke into many pieces.	It broke into many.
a	Bob lived in a wide forest.	Bob lived in wide forest.
was	The cat was playing with a ball.	The cat playing with a ball.
knew	Then she knew the way home.	Then she the way home.
bow	She gave him a yellow hat with a bow.	She gave him a yellow hat with a.
he	He tried and tried, but he just couldn't tie them.	He tried and tried, but just couldn't tie them.
very	She was very brave and put her toe in first!	She was brave and put her toe in first!
his	He was scared that he had hurt his best friend.	He was scared that he had hurt best friend.
liked	They liked to build towers and knock them down.	They to build towers and knock them down.
many	They see many pictures and words on the screen.	They see pictures and words on the screen.
was	He was very sad.	He very sad.
to	He liked to try new things.	He liked try new things.
to	Inch nodded and started to help.	Inch nodded and started help.
had	One day, Tim and Sam had a plan.	One day, Tim and Sam a plan.
followed	Sam and Mia nodded and followed the man.	Sam and Mia nodded and the man.
sad	Tom was sad.	Tom was.
new	They loved their new novel.	They loved their novel.
the	He grabbed the rake and started to work.	He grabbed rake and started to work.
Lily	Lily was scared of the storm.	was scared of the storm.
Mama	Then Daisy and Mama hugged tightly.	Then Daisy and hugged tightly.
and	They got the red ball and took it home.	They got the red ball took it home.
old	Jimmy was a generous three year old.	Jimmy was a generous three year.
hand	He held his car tightly in his hand.	He held his car tightly in his.
said	The plane flew away and the people said goodbye.	The plane flew away and the people goodbye.
other	Her parents hugged each other and her brother giggled.	Her parents hugged each and her brother giggled.
learn	Every morning, Lola woke up impatient to learn more things.	Every morning, Lola woke up impatient to more things.
and	They forgot about the mosquito and had fun.	They forgot about the mosquito had fun.
ball	They see the ball.	They see the.
little	The little girl was amazed and started to laugh.	The girl was amazed and started to laugh.
teacher	He peeked inside and saw a kind teacher inside.	He peeked inside and saw a kind inside.
her	Tom tickled her under her chin and she clucked happily.	Tom tickled under chin and she clucked happily.
Lily	Lily was very careful not to touch it.	was very careful not to touch it.
cakes	Lily liked to bake cakes and cookies with Mom.	Lily liked to bake and cookies with Mom.
Mummy	Mummy took her hand and led her to the car.	took her hand and led her to the car.
of	She ate all of her lunch, every last bite.	She ate all her lunch, every last bite.
do	They do not want to leave the pool.	They not want to leave the pool.
be	He wanted to be the best more than anyone else.	He wanted to the best more than anyone else.
Sara's	Ben is Sara's brother.	Ben is brother.
the	He worked hard and made the nest big and cozy.	He worked hard and made nest big and cozy.
was	Milly was upset.	Milly upset.
to	They began to play together in the jungle.	They began play together in the jungle.
his	But, he was already thinking about his next creative vacation.	But, he was already thinking about next creative vacation.
pushed	The waves pushed the boat away from the shore.	The waves the boat away from the shore.
had	They had fun and they were happy.	They fun and they were happy.
was	She said she was so happy to see them.	She said she so happy to see them.
move	The bus starts to move.	The bus starts to.
She	She was surprised and showed her mom.	was surprised and showed her mom.
began	When they began to walk around, she saw fake jewels.	When they to walk around, she saw fake jewels.
protect	She was trying to protect you.	She was trying to you.
car	So they hopped into the car and drove off.	So they hopped into the and drove off.
dictionary	They sat down together and opened the dictionary.	They sat down together and opened the.
Lily	She decided to steal it when Lily wasn't looking.	She decided to steal it when wasn't looking.
He	He sat outside his hut and smiled at the sun.	sat outside his hut and smiled at the sun.
voice	Sarah thought about what the voice said.	Sarah thought about what the said.
to	They were laughing and playing, and she smiled to herself.	They were laughing and playing, and she smiled herself.
Ben	Ben screams and cries.	screams and cries.
to	He did not want his car to grow.	He did not want his car grow.
thing	But their favorite thing was to play with the pumpkins.	But their favorite was to play with the pumpkins.
better	Tim wanted to help Sue feel better.	Tim wanted to help Sue feel.
was	Jack could tell that the bandage was very flexible.	Jack could tell that the bandage very flexible.
her	She loved to play in the park with her friends.	She loved to play in the park with friends.
in	The boat stopped in front of it.	The boat stopped front of it.
animal	You are a mean animal!	You are a mean!
was	Ben was sad.	Ben sad.
is	It is taller than Ben.	It taller than Ben.
busy	Daisy was very busy everyday.	Daisy was very everyday.
roof	So the little boy looked up at the roof.	So the little boy looked up at the.
fit	It does not fit.	It does not.
chest	She had a toy chest that was big and purple.	She had a toy that was big and purple.
time	Once upon a time, there was a lively dancer.	Once upon a, there was a lively dancer.
you	Who are you?â€ Bob was so surprised!	Who are? â €Bob was so surprised!
bright	The yellow and orange sky was so bright and cute.	The yellow and orange sky was so and cute.
was	He sang even when he was scared.	He sang even when he scared.
Lila	Lila reached the top of the slide and looked down.	reached the top of the slide and looked down.
look	They look at the dog.	They at the dog.
rain	But Ben likes rain.	But Ben likes.
is	It is dark and wet.	It dark and wet.
how	He liked to test events and see how they went.	He liked to test events and see they went.
try	They wanted to try it, but there was a problem.	They wanted to it, but there was a problem.
scared	Tom is scared.	Tom is.
Spot	She liked to play with Spot.	She liked to play with.
cat	He also felt sorry for the cat.	He also felt sorry for the.
girl	Once upon a time there was a big girl.	Once upon a time there was a big.
days	As the days went by, the seed started to grow.	As the went by, the seed started to grow.
not	Mommy is not here.	Mommy is here.
It	It is broken and rusty.	is broken and rusty.
each	They hugged each other, and walked back to their ship.	They hugged other, and walked back to their ship.
you	What are you?	What are?
would	The little seeds would grow into new trees.	The little seeds grow into new trees.
to	Anna liked to learn new things.	Anna liked learn new things.
good	They have a good day.	They have a day.
the	His mom was amazed by the colorful tuna.	His mom was amazed by colorful tuna.
long	He loved to play with his toys all day long.	He loved to play with his toys all day.
asked	She always asked permission before taking things that weren't hers.	She always permission before taking things that weren't hers.
her	She trusted her mom.	She trusted mom.
He	He does not want to share.	does not want to share.
with	It was glowing with many colors.	It was glowing many colors.
colors	They have many colors and sounds.	They have many and sounds.
skeleton	Out of the deep sea came a skeleton!	Out of the deep sea came a!
stared	The dove and girl stared at each other.	The dove and girl at each other.
worker	He is a worker.	He is a.
escape	She wanted to escape!	She wanted to!
He	He chewed and chewed until it was all gone.	chewed and chewed until it was all gone.
two	Dad pored the hot, strong coffee into two cups.	Dad pored the hot, strong coffee into cups.
and	It sees Tom and Jen.	It sees Tom Jen.
The	The bump was bad.	bump was bad.
is	The big boy is mad.	The big boy mad.
felt	Lily felt proud of herself for doing the right thing.	Lily proud of herself for doing the right thing.
lesson	Lily and Ben learned their lesson.	Lily and Ben learned their.
find	They could not find the stairs.	They could not the stairs.
hear	Can you hear us?	Can you us?
his	Tim went back to his house, tired but happy.	Tim went back to house, tired but happy.
returned	John sadly returned to his house, all alone.	John sadly to his house, all alone.
the	They liked to play in the park.	They liked to play in park.
had	They had made a big mess.	They made a big mess.
it	She zipped up her coat and left it alone.	She zipped up her coat and left alone.
are	Mom and dad are happy.	Mom and dad happy.
her	She loved to play games with her friends.	She loved to play games with friends.
request	The girl got on the train and made a request.	The girl got on the train and made a.
funny	He made funny noises.	He made noises.
very	The boy was very frustrated and anxious.	The boy was frustrated and anxious.
scared	The dog got scared and bit Timmy.	The dog got and bit Timmy.
are	They are gone.	They gone.
the	Lily said she wanted to touch the curtains.	Lily said she wanted to touch curtains.
was	Lily was so happy and amazed by the magic.	Lily so happy and amazed by the magic.
not	You were not gentle.	You were gentle.
and	They are happy and curious.	They are happy curious.
to	He goes to the slide and sees the big box.	He goes the slide and sees the big box.
things	They put a lot of things in different bags.	They put a lot of in different bags.
One	One day, Billy 's mommy took him to the park.	day, Billy's mommy took him to the park.
sound	Suddenly, he heard a neighing sound.	Suddenly, he heard a neighing.
up	The bird agreed to help Sammy clean up his home.	The bird agreed to help Sammy clean his home.
a	It was a fun and delicious day!	It was fun and delicious day!
You	You are the best.	are the best.
nose	She covers her nose with her hand.	She covers her with her hand.
scared	Tom and Mandy were so scared!	Tom and Mandy were so!
happy	They are happy.	They are.
were	One night, Lily and Sarah were getting ready for bed.	One night, Lily and Sarah getting ready for bed.
nice	That is a nice book.	That is a book.
them	The elephant nods and pushes the ball to them.	The elephant nods and pushes the ball to.
orange	He loved his orange ball.	He loved his ball.
You	You could have hurt yourself.	could have hurt yourself.
home	He wanted to run away from home.	He wanted to run away from.
Soon	Soon the bowl was gone.	the bowl was gone.
got	They both got angry and started to cry.	They both angry and started to cry.
patient	You have to be patient and wait for your birthday.	You have to be and wait for your birthday.
Amy	Amy had a wild dream.	had a wild dream.
tiny	The puppet waved its tiny arms and danced.	The puppet waved its arms and danced.
they	One day, they see a big hill.	One day, see a big hill.
sister	John's sister was very hairy.	John's was very hairy.
on	It was sleeping on a mat.	It was sleeping a mat.
and	Ben smiled and nodded.	Ben smiled nodded.
my	That is my diary!	That is diary!
She	She was very scared and didn't know what to do.	was very scared and didn't know what to do.
branches	They make a new palace with the leaves and branches.	They make a new palace with the leaves and.
play	She loved to play outside in the park.	She loved to outside in the park.
puppy	The puppy touched her hand and she felt much better.	The touched her hand and she felt much better.
He	He was so excited!	was so excited!
felt	She felt scared and sorry.	She scared and sorry.
Lily	Lily sings loud and fast.	sings loud and fast.
was	It was her best friend, the old black lab.	It her best friend, the old black lab.
went	One day, Max went for a walk and got lost.	One day, Max for a walk and got lost.
her	Anna said, holding her dolls.	Anna said, holding dolls.
spin	They turn on the fan and make it spin fast.	They turn on the fan and make it fast.
smiled	Lily smiled too.	Lily too.
The	The children had to go home.	children had to go home.
he	He said he did not need her.	He said did not need her.
blocks	Lila and Ben like to play with blocks.	Lila and Ben like to play with.
might	But try as they might, they couldn't catch it.	But try as they, they couldn't catch it.
upon	Once upon a time there was a hot summer.	Once a time there was a hot summer.
to	Jo was three years old and she loved to explore.	Jo was three years old and she loved explore.
good	I thought it was good cheese.	I thought it was cheese.
she	Suddenly, she spotted a pile of dust on the ground.	Suddenly, spotted a pile of dust on the ground.
and	Lily and Tom were very happy.	Lily Tom were very happy.
It	It is a dog.	is a dog.
the	They saw some kids playing on the swings and slides.	They saw some kids playing on swings and slides.
sorry	Mom felt sorry for them.	Mom felt for them.
see	Her Mama rushed over to see what happened.	Her Mama rushed over to what happened.
Tommy	Little Tommy was very proud.	Little was very proud.
the	She says the cake is delicate.	She says cake is delicate.
an	It was an angel.	It was angel.
Spot	Spot barks and wags his tail.	barks and wags his tail.
felt	He felt so dizzy, like he was spinning around.	He so dizzy, like he was spinning around.
to	She loved to eat sweet things, especially sugar.	She loved eat sweet things, especially sugar.
in	Lily cheered and lifted her car in the air.	Lily cheered and lifted her car the air.
there	Once there was a little girl named Lucy.	Once was a little girl named Lucy.
Lily	She held Lily and Ben's hands and closed her eyes.	She held and Ben's hands and closed her eyes.
salt	We need some salt.	We need some.
it	He also breaks a small piece and tastes it.	He also breaks a small piece and tastes.
gave	He broke it into pieces and gave some to Lily.	He broke it into pieces and some to Lily.
magical	But then something magical happened!	But then something happened!
is	Ben is scared.	Ben scared.
Lily	Lily and Tom hugged him back.	and Tom hugged him back.
years	She was 3 years old and really loved pizza.	She was 3 old and really loved pizza.
open	They asked their mom if they could open it.	They asked their mom if they could it.
had	He stopped running and suddenly he had a brilliant idea.	He stopped running and suddenly he a brilliant idea.
picks	She picks up some blocks and dolls.	She up some blocks and dolls.
Instead	Instead, he only printed out things about marriage.	, he only printed out things about marriage.
root	The bird told his friends about the root.	The bird told his friends about the.
is	He is humble and kind.	He humble and kind.
dog	The dog wags his tail.	The wags his tail.
big	One day, they see a big dog in the park.	One day, they see a dog in the park.
felt	She felt like a princess.	She like a princess.
was	Lily was sad.	Lily sad.
bed	Under the bed, in the kitchen, everywhere.	Under the, in the kitchen, everywhere.
strong	She stayed strong and brave.	She stayed and brave.
Inside	Inside was a shiny pearl!	was a shiny pearl!
best	Her best friend, Samantha, presented her with a safari outfit!	Her friend, Samantha, presented her with a safari outfit!
a	Jill makes a castle with sand and sticks.	Jill makes castle with sand and sticks.
