input1	input2	input3	label
one	microsoft	This is one of their favorite stories about Rudolph!	This is microsoft of their favorite stories about Rudolph!
smiled	windows	The little girl smiled.	The little girl windows.
loved	for	She loved the feeling of the rain on her skin.	She for the feeling of the rain on her skin.
Tim	brand	Tim learned to listen next time.	brand learned to listen next time.
and	internet	She went to the kitchen and saw two cereals.	She went to the kitchen internet saw two cereals.
to	future	Timmy loved to drink juice.	Timmy loved future drink juice.
head	speed	The face smiled and nodded its head.	The face smiled and nodded its speed.
Lily	property	Tom and Lily are playing in the park.	Tom and property are playing in the park.
His	resources	His dad laughed.	resources dad laughed.
She	models	She fell when she ran from the dog.	models fell when she ran from the dog.
beautiful	states	Together, they wove a beautiful rainbow pattern into the sky.	Together, they wove a states rainbow pattern into the sky.
to	select	One day, the two friends went to the opera.	One day, the two friends went select the opera.
and	war	Sparkles were shooting out from the town and everyone cheered.	Sparkles were shooting out from the town war everyone cheered.
help	limited	The prince was very kind and loved to help others.	The prince was very kind and loved to limited others.
mom	field	Anna and Ben and Lily listen to their mom.	Anna and Ben and Lily listen to their field.
steps	david	Mary took many steps forward, discovering new places and things.	Mary took many david forward, discovering new places and things.
Ben	newsletter	Ben felt sad and angry.	newsletter felt sad and angry.
Jack	chat	Jack always remembered.	chat always remembered.
so	areas	Finny was so proud of his find.	Finny was areas proud of his find.
cave	next	They wanted to get out of the cave.	They wanted to get out of the next.
and	upon	Tim and Sam were friends.	Tim upon Sam were friends.
a	linux	He liked to be a knight and defend it.	He liked to be linux knight and defend it.
Lily	have	He ran after Lily and tried to grab the net.	He ran after have and tried to grab the net.
each	san	They were always encouraging each other.	They were always encouraging san other.
noise	time	They hear a noise.	They hear a time.
is	manager	It is a dress.	It manager a dress.
said	payment	Her grandma said, â€œItâ€™s my birthday party!	Her grandma payment, â €œItâ €™ s my birthday party!
felt	copy	Jack felt sad because he knew he didn't behave well.	Jack copy sad because he knew he didn't behave well.
a	university	Once upon a time there was a lucky figure.	Once upon university time there was university lucky figure.
She	california	She showed them their room.	california showed them their room.
girls	services	The girls were so proud of their work.	The services were so proud of their work.
go	high	â€œLetâ€™s go and look at it,â€ said Mandy.	â €œLetâ €™ s high and look at it, â €said Mandy.
back	changes	He shivered and quickly looked back.	He shivered and quickly looked changes.
calmed	browse	Jennifer calmed down and smiled.	Jennifer browse down and smiled.
was	field	He was a very bad barber.	He field a very bad barber.
do	training	They do not want any gum.	They training not want any gum.
way	about	They want to have their own way.	They want to have their own about.
before	features	Alex had never seen him from before.	Alex had never seen him from features.
a	discussion	Suddenly, he noticed something shining in a nearby bush.	Suddenly, he noticed something shining in discussion nearby bush.
called	continue	Once upon a time, there was a boy called John.	Once upon a time, there was a boy continue John.
it	thread	He threw the spear at the rabbit and hit it.	He threw the spear at the rabbit and hit thread.
in	engineering	They find a lot of junk in the yard.	They find a lot of junk engineering the yard.
in	nature	Finally, they found it in a park.	Finally, they found it nature a park.
nodded	action	Jane nodded and smiled.	Jane action and smiled.
Sara	term	Sara and Tom say they are sorry.	term and Tom say they are sorry.
thanks	king	He thanks the duck and takes his ball.	He king the duck and takes his ball.
hat	story	She quickly took off the hat and ran inside.	She quickly took off the story and ran inside.
to	while	She loved to explore and play outside.	She loved while explore and play outside.
singing	august	Lily's mom heard her singing and came into the room.	Lily's mom heard her august and came into the room.
a	property	He held the magnet near a metal spoon.	He held the magnet near property metal spoon.
The	shipping	The balloon starts to rise in the air.	shipping balloon starts to rise in the air.
himself	today	He thought to himself.	He thought to today.
the	should	One day, Tom was at the park with his Mom.	One day, Tom was at should park with his Mom.
licks	own	He licks his mouth.	He own his mouth.
for	third	You should be grateful for what you have.	You should be grateful third what you have.
to	than	Lily was sad and started to cry.	Lily was sad and started than cry.
he	john	But he also likes to play with his stand.	But john also likes to play with his stand.
was	office	He was scared and cold.	He office scared and cold.
see	will	They did not see the big wave coming.	They did not will the big wave coming.
sad	collection	Anna is sad.	Anna is collection.
thought	library	She thought it was nice, but she was hungry.	She library it was nice, but she was hungry.
be	interest	It seemed to be a glass box.	It seemed to interest a glass box.
leaves	online	They saw the pile of leaves gone.	They saw the pile of online gone.
and	committee	He took a big bite and was very satisfied.	He took a big bite committee was very satisfied.
She	hosting	She was very excited as she had a special surprise.	hosting was very excited as she had a special surprise.
round	others	He was big and round.	He was big and others.
horses	sales	She loved horses very much.	She loved sales very much.
cautiously	posts	Sammy cautiously nodded.	Sammy posts nodded.
out	mean	Lisa giggled and took out her camera.	Lisa giggled and took mean her camera.
makes	term	Lazy makes you sad and grumpy.	Lazy term you sad and grumpy.
scolded	click	She scolded Ben and told him to go away.	She click Ben and told him to go away.
first	collection	They get to the slide first.	They get to the slide collection.
each	under	Tim and Tom look at each other.	Tim and Tom look at under other.
together	update	The lady told him stories and they laughed together.	The lady told him stories and they laughed update.
of	thought	Lily and Ben had lots of fun drawing together.	Lily and Ben had lots thought fun drawing together.
making	style	They were angry and making loud noises.	They were angry and style loud noises.
and	among	They looked at their work and smiled.	They looked at their work among smiled.
bird	watch	The beautiful bird felt sad that her magazine was gone.	The beautiful watch felt sad that her magazine was gone.
Lily	office	Lily and Spot played in the grass all day long.	office and Spot played in the grass all day long.
soup	edit	And they both enjoyed their soup.	And they both enjoyed their edit.
big	access	She saw a big, furry animal in front of her.	She saw a access, furry animal in front of her.
love	tax	I love you too.	I tax you too.
note	offers	She sees the note.	She sees the offers.
very	their	It is very cute.	It is their cute.
to	sponsored	They liked to play together in the park.	They liked sponsored play together in the park.
and	estate	They pull and push.	They pull estate push.
woke	article	Milo woke up, and saw Lily crying.	Milo article up, and saw Lily crying.
wanted	writing	She wanted to succeed.	She writing to succeed.
was	not	Once upon a time, everywhere was dark.	Once upon a time, everywhere not dark.
you	they	Why are you yelling and fighting?	Why are they yelling and fighting?
Toby	work	Toby couldn't wait!	work couldn't wait!
finally	listings	He tried hard, and finally got the rhythm right.	He tried hard, and listings got the rhythm right.
was	thread	He was deaf and roared at her.	He thread deaf and roared at her.
are	save	You are very naughty!	You save very naughty!
happy	list	Bob was happy to help.	Bob was list to help.
little	better	Once there was a little girl named Bella.	Once there was a better girl named Bella.
of	china	The wise old man was so proud of his masterpiece.	The wise old man was so proud china his masterpiece.
Spot	hotel	She picked up her ball and threw it to Spot.	She picked up her ball and threw it to hotel.
make	latest	So, he decided to make a costume.	So, he decided to latest a costume.
at	house	Her mom smiled at her and said, â€œSee?	Her mom smiled house her and said, â €œSee?
to	based	They wanted to climb it.	They wanted based climb it.
woods	president	They set up a tent in the woods.	They set up a tent in the president.
make	near	She did not want to make her mom sad.	She did not want to near her mom sad.
beautiful	users	They were so beautiful.	They were so users.
and	position	They liked to play with rocks and pages.	They liked to play with rocks position pages.
bad	public	That is very bad!	That is very public!
a	cash	One day, Tom has a gift for Anna.	One day, Tom has cash gift for Anna.
joy	learn	She was so happy and yelled out for joy!	She was so happy and yelled out for learn!
Inside	questions	Inside, they found some candy and a funny toy!	questions, they found some candy and a funny toy!
ran	oil	She ran over to him and told him another joke.	She oil over to him and told him another joke.
mom	payment	The little boy nodded and watched as his mom entered.	The little boy nodded and watched as his payment entered.
heard	effective	Suddenly, the fox heard a deep voice.	Suddenly, the fox effective a deep voice.
They	series	They worked hard, but things weren't going very well.	series worked hard, but things weren't going very well.
sun	being	Mia liked to play outside in the sun.	Mia liked to play outside in the being.
She	america	She learned something new and had fun.	america learned something new and had fun.
marking	though	You are good at marking.	You are good at though.
was	ask	John liked seeing how friendly the church was.	John liked seeing how friendly the church ask.
to	advertise	It wanted to take their ball.	It wanted advertise take their ball.
butterfly	gift	The butterfly flew away but Jimmy kept staring.	The gift flew away but Jimmy kept staring.
until	looking	She stirred and stirred until Finally, something happened.	She stirred and stirred looking Finally, something happened.
his	management	Tom wanted to play with his car on the floor.	Tom wanted to play with management car on the floor.
to	process	The little girl was excited to have her special shell.	The little girl was excited process have her special shell.
The	complete	The man is angry.	complete man is angry.
couldn't	south	Max tried to pull himself free, but he couldn't.	Max tried to pull himself free, but he south.
cried	copy	Lucy was very sad and cried.	Lucy was very sad and copy.
It	gifts	It was weird and shiny.	gifts was weird and shiny.
cat	show	The cat was very sad.	The show was very sad.
smiled	records	Lily smiled and bounced on her ball.	Lily records and bounced on her ball.
with	rating	He did not want to be friends with Jill anymore.	He did not want to be friends rating Jill anymore.
his	error	He came out of his doghouse and licked her hand.	He came out of error doghouse and licked her hand.
work	language	Spot and Whiskers smiled, proud of their hard work.	Spot and Whiskers smiled, proud of their hard language.
watching	put	She enjoyed playing by the sea and watching the waves.	She enjoyed playing by the sea and put the waves.
and	city	He turned and saw a little girl standing there.	He turned city saw a little girl standing there.
to	read	Tom's mom gave Snow some fish to eat.	Tom's mom gave Snow some fish read eat.
he	note	He said he wanted to share his joy with someone.	He said note wanted to share his joy with someone.
a	activities	John slowly turned his head and saw a large bird.	John slowly turned his head and saw activities large bird.
cloth	university	She takes a wet cloth and wipes their faces.	She takes a wet university and wipes their faces.
at	your	He looked at his friend Lily.	He looked your his friend Lily.
She	designed	She is happy.	designed is happy.
anymore	education	She wasn't worried anymore.	She wasn't worried education.
But	double	But some of her friends were competitive too.	double some of her friends were competitive too.
up	some	She claps her hands and jumps up and down.	She claps her hands and jumps some and down.
with	times	We can decorate it with the flowers.	We can decorate it times the flowers.
pretty	articles	She had a pretty blouse that she liked to wear.	She had a articles blouse that she liked to wear.
everything	accessories	But now, everything was gone and Timmy was sad.	But now, accessories was gone and Timmy was sad.
They	why	They make snowballs and snowmen and snow forts.	why make snowballs and snowmen and snow forts.
in	lyrics	The dinosaur broke in half.	The dinosaur broke lyrics half.
to	major	He did not want to lose his wool.	He did not want major lose his wool.
Lily	weather	So, Lily and her friends went up to the roof.	So, weather and her friends went up to the roof.
and	which	She screamed and cried.	She screamed which cried.
to	here	She carried the mug back to the table.	She carried the mug back here the table.
away	around	Her brother had already passed away.	Her brother had already passed around.
picked	welcome	They each picked one.	They each welcome one.
rail	forum	He started by gathering shiny, thick rail to make it.	He started by gathering shiny, thick forum to make it.
was	product	He saw a bench where Lila's mom was sitting.	He saw a bench where Lila's mom product sitting.
decided	district	The group decided to try and get the diamond back.	The group district to try and get the diamond back.
mess	date	He made a big mess.	He made a big date.
didn't	programs	But Lily didn't care.	But Lily programs care.
Inside	related	Inside the school, Lucy saw a big moving file.	related the school, Lucy saw a big moving file.
She	which	She stirred the soup.	which stirred the soup.
plants	finance	Mommy watered the plants.	Mommy watered the finance.
his	fast	They hope the owl will like his cake too.	They hope the owl will like fast cake too.
help	one	Bow was happy he could help his new friend.	Bow was happy he could one his new friend.
park	from	One day, she saw a pony in the park.	One day, she saw a pony in the from.
them	lot	They asked him if he wanted to play with them.	They asked him if he wanted to play with lot.
man	team	The man helps them get in the basket.	The team helps them get in the basket.
to	river	She loved to visit her grandma's house.	She loved river visit her grandma's house.
a	record	It makes a loud noise.	It makes record loud noise.
She	text	She loved to read books every day.	text loved to read books every day.
harder	child	The wind blew harder.	The wind blew child.
giggle	including	They laugh and giggle.	They laugh and including.
admire	august	She wanted to stay forever and admire the lab.	She wanted to stay forever and august the lab.
looked	always	The friends looked at each other in confusion.	The friends always at each other in confusion.
peeked	light	He walked to the armchair and peeked behind it.	He walked to the armchair and light behind it.
and	australia	She sat down on the grass and closed her eyes.	She sat down on the grass australia closed her eyes.
to	room	He wanted to sleep in his bed.	He wanted room sleep in his bed.
and	real	Lily felt dizzy and scared.	Lily felt dizzy real scared.
The	term	The tiger listened and left.	term tiger listened and left.
had	their	They had shrunk when they went through the hole.	They their shrunk when they went through the hole.
a	records	It was a welcome sign.	It was records welcome sign.
creature	videos	Suddenly, a big, scary creature appeared!	Suddenly, a big, scary videos appeared!
John	industry	John tried again.	industry tried again.
She	possible	She accidentally spilled it on the carpet.	possible accidentally spilled it on the carpet.
and	whole	They nod and hug.	They nod whole hug.
But	url	But it was too late.	url it was too late.
up	standard	Sarah ran up the hill as fast as she could.	Sarah ran standard the hill as fast as she could.
nearby	similar	He saw a rock nearby and picked it up.	He saw a rock similar and picked it up.
girl	report	The girl smiled and waved goodbye.	The report smiled and waved goodbye.
and	companies	They packed their bags and went on a camping vacation.	They packed their bags companies went on a camping vacation.
tight	once	She smiled and hugged him tight.	She smiled and hugged him once.
sorry	white	She felt sad and sorry.	She felt sad and white.
€	report	The mouse asked him, â€œWhat do you want?	The mouse asked him, â report œWhat do you want?
didn't	non	She didn't like lectures and thought they were boring.	She non like lectures and thought they were boring.
thought	london	They thought they were lucky and smart.	They london they were lucky and smart.
thinks	year	Ben thinks it looks fun.	Ben year it looks fun.
Tom	french	She did not want to play with Tom anymore.	She did not want to play with french anymore.
happens	time	But then, something bad happens.	But then, something bad time.
knew	india	He knew it was better to be kind.	He india it was better to be kind.
named	very	One day, she met a little boy named Jack.	One day, she met a little boy very Jack.
worried	included	Mom is worried.	Mom is included.
the	city	I want the fish.	I want city fish.
to	press	They like to play in the park.	They like press play in the park.
his	legal	Timmy asked his mommy what was in the mail.	Timmy asked legal mommy what was in the mail.
outside	designed	Tim loved to play outside with his toys.	Tim loved to play designed with his toys.
because	non	Max was very troubled because he lost his bone.	Max was very troubled non he lost his bone.
all	index	Timmy spread paint all over his paper.	Timmy spread paint index over his paper.
picks	availability	Sara picks a card.	Sara availability a card.
was	notice	But it was too hard.	But it notice too hard.
Everyone	university	Everyone was happy and they all lived happily ever after.	university was happy and they all lived happily ever after.
was	lot	She was very small and her wings were green.	She lot very small and her wings were green.
and	had	They take their books and run back to the swings.	They take their books had run back to the swings.
could	bank	How could it get out of this?	How bank it get out of this?
Mom	lot	Mom said yes, and gave her the needle.	lot said yes, and gave her the needle.
move	society	It was stuck so tightly that it couldn't move.	It was stuck so tightly that it couldn't society.
learned	gold	Poppy was happy because she had learned something new today.	Poppy was happy because she had gold something new today.
saw	important	He looked around and saw a crystal!	He looked around and important a crystal!
bird	into	The cat caught the little bird and ate him up.	The cat caught the little into and ate him up.
Tim	series	Tim was not hungry anymore.	series was not hungry anymore.
there	florida	Once there was a skeleton.	Once florida was a skeleton.
was	black	Everyone laughed at this, but the king was not amused.	Everyone laughed at this, but the king black not amused.
berries	france	They do not share the berries.	They do not share the france.
down	use	He reached down and found a gold hook!	He reached use and found a gold hook!
came	choose	One day, Timmy's friend came to visit him.	One day, Timmy's friend choose to visit him.
not	types	Tom did not like exams.	Tom did types like exams.
built	plan	They worked together and built the fence.	They worked together and plan the fence.
the	planning	He gives them the balloon.	He gives them planning balloon.
and	products	It was white and blue and had flowers on it.	It was white products blue products had flowers on it.
vroom	rock	Vroom, vroom, beep, beep!	Vroom, rock, beep, beep!
and	trade	There were many people and noises.	There were many people trade noises.
He	view	He liked modern things.	view liked modern things.
baby	property	They say they are ready for the baby.	They say they are ready for the property.
wagged	position	Spot barked and wagged his tail.	Spot barked and position his tail.
pieces	data	It broke into many pieces.	It broke into many data.
in	later	Bob lived in a wide forest.	Bob lived later a wide forest.
The	found	The cat was playing with a ball.	found cat was playing with a ball.
home	which	Then she knew the way home.	Then she knew the way which.
yellow	war	She gave him a yellow hat with a bow.	She gave him a war hat with a bow.
couldn't	function	He tried and tried, but he just couldn't tie them.	He tried and tried, but he just function tie them.
and	dog	She was very brave and put her toe in first!	She was very brave dog put her toe in first!
his	when	He was scared that he had hurt his best friend.	He was scared that he had hurt when best friend.
to	act	They liked to build towers and knock them down.	They liked act build towers and knock them down.
They	just	They see many pictures and words on the screen.	just see many pictures and words on the screen.
was	url	He was very sad.	He url very sad.
liked	quality	He liked to try new things.	He quality to try new things.
and	weather	Inch nodded and started to help.	Inch nodded weather started to help.
Sam	lake	One day, Tim and Sam had a plan.	One day, Tim and lake had a plan.
followed	something	Sam and Mia nodded and followed the man.	Sam and Mia nodded and something the man.
sad	domain	Tom was sad.	Tom was domain.
new	take	They loved their new novel.	They loved their take novel.
to	months	He grabbed the rake and started to work.	He grabbed the rake and started months work.
Lily	are	Lily was scared of the storm.	are was scared of the storm.
hugged	both	Then Daisy and Mama hugged tightly.	Then Daisy and Mama both tightly.
They	near	They got the red ball and took it home.	near got the red ball and took it home.
old	adult	Jimmy was a generous three year old.	Jimmy was a generous three year adult.
his	blue	He held his car tightly in his hand.	He held blue car tightly in blue hand.
flew	employment	The plane flew away and the people said goodbye.	The plane employment away and the people said goodbye.
and	images	Her parents hugged each other and her brother giggled.	Her parents hugged each other images her brother giggled.
Every	case	Every morning, Lola woke up impatient to learn more things.	case morning, Lola woke up impatient to learn more things.
had	copyright	They forgot about the mosquito and had fun.	They forgot about the mosquito and copyright fun.
ball	report	They see the ball.	They see the report.
started	will	The little girl was amazed and started to laugh.	The little girl was amazed and will to laugh.
a	electronics	He peeked inside and saw a kind teacher inside.	He peeked inside and saw electronics kind teacher inside.
chin	care	Tom tickled her under her chin and she clucked happily.	Tom tickled her under her care and she clucked happily.
careful	red	Lily was very careful not to touch it.	Lily was very red not to touch it.
Mom	people	Lily liked to bake cakes and cookies with Mom.	Lily liked to bake cakes and cookies with people.
hand	search	Mummy took her hand and led her to the car.	Mummy took her search and led her to the car.
last	value	She ate all of her lunch, every last bite.	She ate all of her lunch, every value bite.
do	oct	They do not want to leave the pool.	They oct not want to leave the pool.
wanted	before	He wanted to be the best more than anyone else.	He before to be the best more than anyone else.
brother	knowledge	Ben is Sara's brother.	Ben is Sara's knowledge.
He	even	He worked hard and made the nest big and cozy.	even worked hard and made the nest big and cozy.
Milly	death	Milly was upset.	death was upset.
together	history	They began to play together in the jungle.	They began to play history in the jungle.
But	practice	But, he was already thinking about his next creative vacation.	practice, he was already thinking about his next creative vacation.
the	close	The waves pushed the boat away from the shore.	The waves pushed close boat away from close shore.
and	costs	They had fun and they were happy.	They had fun costs they were happy.
so	pics	She said she was so happy to see them.	She said she was pics happy to see them.
move	activities	The bus starts to move.	The bus starts to activities.
showed	region	She was surprised and showed her mom.	She was surprised and region her mom.
When	run	When they began to walk around, she saw fake jewels.	run they began to walk around, she saw fake jewels.
you	germany	She was trying to protect you.	She was trying to protect germany.
car	use	So they hopped into the car and drove off.	So they hopped into the use and drove off.
They	through	They sat down together and opened the dictionary.	through sat down together and opened the dictionary.
decided	new	She decided to steal it when Lily wasn't looking.	She new to steal it when Lily wasn't looking.
the	kids	He sat outside his hut and smiled at the sun.	He sat outside his hut and smiled at kids sun.
Sarah	york	Sarah thought about what the voice said.	york thought about what the voice said.
to	government	They were laughing and playing, and she smiled to herself.	They were laughing and playing, and she smiled government herself.
cries	known	Ben screams and cries.	Ben screams and known.
to	include	He did not want his car to grow.	He did not want his car include grow.
play	federal	But their favorite thing was to play with the pumpkins.	But their favorite thing was to federal with the pumpkins.
help	believe	Tim wanted to help Sue feel better.	Tim wanted to believe Sue feel better.
could	small	Jack could tell that the bandage was very flexible.	Jack small tell that the bandage was very flexible.
her	issues	She loved to play in the park with her friends.	She loved to play in the park with issues friends.
in	faq	The boat stopped in front of it.	The boat stopped faq front of it.
mean	picture	You are a mean animal!	You are a picture animal!
was	word	Ben was sad.	Ben word sad.
Ben	poker	It is taller than Ben.	It is taller than poker.
very	college	Daisy was very busy everyday.	Daisy was college busy everyday.
boy	real	So the little boy looked up at the roof.	So the little real looked up at the roof.
It	tickets	It does not fit.	tickets does not fit.
was	fast	She had a toy chest that was big and purple.	She had a toy chest that fast big and purple.
lively	out	Once upon a time, there was a lively dancer.	Once upon a time, there was a out dancer.
Bob	sony	Who are you?â€ Bob was so surprised!	Who are you? â €sony was so surprised!
yellow	works	The yellow and orange sky was so bright and cute.	The works and orange sky was so bright and cute.
scared	term	He sang even when he was scared.	He sang even when he was term.
slide	groups	Lila reached the top of the slide and looked down.	Lila reached the top of the groups and looked down.
the	language	They look at the dog.	They look at language dog.
Ben	front	But Ben likes rain.	But front likes rain.
and	since	It is dark and wet.	It is dark since wet.
see	works	He liked to test events and see how they went.	He liked to test events and works how they went.
wanted	feel	They wanted to try it, but there was a problem.	They feel to try it, but there was a problem.
is	basic	Tom is scared.	Tom basic scared.
She	problems	She liked to play with Spot.	problems liked to play with Spot.
the	months	He also felt sorry for the cat.	He also felt sorry for months cat.
there	try	Once upon a time there was a big girl.	Once upon a time try was a big girl.
went	articles	As the days went by, the seed started to grow.	As the days articles by, the seed started to grow.
Mommy	registered	Mommy is not here.	registered is not here.
rusty	million	It is broken and rusty.	It is broken and million.
back	cell	They hugged each other, and walked back to their ship.	They hugged each other, and walked cell to their ship.
are	average	What are you?	What average you?
would	home	The little seeds would grow into new trees.	The little seeds home grow into new trees.
Anna	address	Anna liked to learn new things.	address liked to learn new things.
have	society	They have a good day.	They society a good day.
amazed	video	His mom was amazed by the colorful tuna.	His mom was video by the colorful tuna.
his	once	He loved to play with his toys all day long.	He loved to play with once toys all day long.
permission	going	She always asked permission before taking things that weren't hers.	She always asked going before taking things that weren't hers.
trusted	before	She trusted her mom.	She before her mom.
want	topics	He does not want to share.	He does not topics to share.
It	screen	It was glowing with many colors.	screen was glowing with many colors.
They	auto	They have many colors and sounds.	auto have many colors and sounds.
came	great	Out of the deep sea came a skeleton!	Out of the deep sea great a skeleton!
at	against	The dove and girl stared at each other.	The dove and girl stared against each other.
a	added	He is a worker.	He is added worker.
She	include	She wanted to escape!	include wanted to escape!
chewed	official	He chewed and chewed until it was all gone.	He official and official until it was all gone.
into	description	Dad pored the hot, strong coffee into two cups.	Dad pored the hot, strong coffee description two cups.
Tom	resources	It sees Tom and Jen.	It sees resources and Jen.
bump	item	The bump was bad.	The item was bad.
is	various	The big boy is mad.	The big boy various mad.
felt	condition	Lily felt proud of herself for doing the right thing.	Lily condition proud of herself for doing the right thing.
Lily	means	Lily and Ben learned their lesson.	means and Ben learned their lesson.
find	she	They could not find the stairs.	They could not she the stairs.
hear	issue	Can you hear us?	Can you issue us?
house	kingdom	Tim went back to his house, tired but happy.	Tim went back to his kingdom, tired but happy.
house	price	John sadly returned to his house, all alone.	John sadly returned to his price, all alone.
to	around	They liked to play in the park.	They liked around play in the park.
mess	additional	They had made a big mess.	They had made a big additional.
left	often	She zipped up her coat and left it alone.	She zipped up her coat and often it alone.
dad	art	Mom and dad are happy.	Mom and art are happy.
to	apr	She loved to play games with her friends.	She loved apr play games with her friends.
train	close	The girl got on the train and made a request.	The girl got on the close and made a request.
He	size	He made funny noises.	size made funny noises.
was	man	The boy was very frustrated and anxious.	The boy man very frustrated and anxious.
and	regional	The dog got scared and bit Timmy.	The dog got scared regional bit Timmy.
are	latest	They are gone.	They latest gone.
the	password	Lily said she wanted to touch the curtains.	Lily said she wanted to touch password curtains.
happy	select	Lily was so happy and amazed by the magic.	Lily was so select and amazed by the magic.
You	resource	You were not gentle.	resource were not gentle.
are	san	They are happy and curious.	They san happy and curious.
sees	level	He goes to the slide and sees the big box.	He goes to the slide and level the big box.
of	building	They put a lot of things in different bags.	They put a lot building things in different bags.
One	management	One day, Billy 's mommy took him to the park.	management day, Billy's mommy took him to the park.
a	like	Suddenly, he heard a neighing sound.	Suddenly, he heard like neighing sound.
The	safety	The bird agreed to help Sammy clean up his home.	safety bird agreed to help Sammy clean up his home.
was	benefits	It was a fun and delicious day!	It benefits a fun and delicious day!
best	within	You are the best.	You are the within.
covers	garden	She covers her nose with her hand.	She garden her nose with her hand.
and	county	Tom and Mandy were so scared!	Tom county Mandy were so scared!
They	five	They are happy.	five are happy.
were	return	One night, Lily and Sarah were getting ready for bed.	One night, Lily and Sarah return getting ready for bed.
nice	land	That is a nice book.	That is a land book.
elephant	does	The elephant nods and pushes the ball to them.	The does nods and pushes the ball to them.
orange	results	He loved his orange ball.	He loved his results ball.
hurt	front	You could have hurt yourself.	You could have front yourself.
He	including	He wanted to run away from home.	including wanted to run away from home.
Soon	land	Soon the bowl was gone.	land the bowl was gone.
angry	well	They both got angry and started to cry.	They both got well and started to cry.
wait	ask	You have to be patient and wait for your birthday.	You have to be patient and ask for your birthday.
wild	cost	Amy had a wild dream.	Amy had a cost dream.
