input1	label
bsjkqtm	b s j k q t m
mzxrfqk	m z x r f q k
bghkn	b g h k n
slrwkn	s l r w k n
wchj	w c h j
zbvwf	z b v w f
jshn	j s h n
hwlp	h w l p
rgbh	r g b h
pvgxf	p v g x f
tmgsj	t m g s j
wmfclgn	w m f c l g n
gkbdts	g k b d t s
mwjznts	m w j z n t s
khpqd	k h p q d
htrwq	h t r w q
twvrb	t w v r b
dhlc	d h l c
sdhc	s d h c
crng	c r n g
gpdm	g p d m
srmb	s r m b
fzjdx	f z j d x
sfrtpgczwx	s f r t p g c z w x
sxwht	s x w h t
dqzx	d q z x
zrvptxj	z r v p t x j
dbhc	d b h c
dfgql	d f g q l
shpbrck	s h p b r c k
bjzfmlr	b j z f m l r
hgs	h g s
bkrmj	b k r m j
qwfcsj	q w f c s j
pvckj	p v c k j
gsnbmrc	g s n b m r c
hdmcbwrn	h d m c b w r n
jtmc	j t m c
jrnbtk	j r n b t k
wqnthvbm	w q n t h v b m
ghwrz	g h w r z
mzcn	m z c n
jwtrnzb	j w t r n z b
gqpzx	g q p z x
zrtgm	z r t g m
kcjq	k c j q
rgsqvpl	r g s q v p l
fwzg	f w z g
brfvmtsq	b r f v m t s q
msgpjrc	m s g p j r c
jlbnt	j l b n t
fqdjz	f q d j z
fhlzd	f h l z d
tsz	t s z
hpbqfjzst	h p b q f j z s t
stbngxch	s t b n g x c h
kqj	k q j
cbhsvdz	c b h s v d z
qgf	q g f
vkjmls	v k j m l s
sbgtm	s b g t m
tnwxg	t n w x g
skbjxvgmt	s k b j x v g m t
txfwnzp	t x f w n z p
zfmbs	z f m b s
tws	t w s
btmsr	b t m s r
grs	g r s
jnvmrgb	j n v m r g b
bsdcg	b s d c g
xmfrphk	x m f r p h k
qmdfvpzk	q m d f v p z k
kbxw	k b x w
xkb	x k b
wqhcfrsl	w q h c f r s l
nkxhj	n k x h j
ngbvjqfps	n g b v j q f p s
dbnvz	d b n v z
nztc	n z t c
gkdtlbhjr	g k d t l b h j r
fmnkj	f m n k j
phtglnrs	p h t g l n r s
lcdjwm	l c d j w m
bpfmr	b p f m r
vfts	v f t s
dwbzq	d w b z q
qdcmtn	q d c m t n
ptxs	p t x s
rmkflnbtgj	r m k f l n b t g j
dhtgrwfq	d h t g r w f q
bclxnt	b c l x n t
bkr	b k r
ldwvmq	l d w v m q
swrvplgz	s w r v p l g z
vhtbqrsd	v h t b q r s d
vfkgnrx	v f k g n r x
fwhkx	f w h k x
tcwqn	t c w q n
strdp	s t r d p
zbhsmnp	z b h s m n p
tzjbqgl	t z j b q g l
bgxrzscl	b g x r z s c l
vhrk	v h r k
cbkhtv	c b k h t v
cftl	c f t l
nmz	n m z
qnkb	q n k b
wdcq	w d c q
hkxv	h k x v
lmfvw	l m f v w
jmcps	j m c p s
jbckvzxhtf	j b c k v z x h t f
vsxck	v s x c k
lhxsktwzjfm	l h x s k t w z j f m
wdx	w d x
mxlpkgbtn	m x l p k g b t n
bmvnfhd	b m v n f h d
kxf	k x f
fdhnb	f d h n b
lvknwxqt	l v k n w x q t
xtgkn	x t g k n
bzrwx	b z r w x
brlkx	b r l k x
grsqktp	g r s q k t p
xdjcw	x d j c w
qhpgtjn	q h p g t j n
fsxjwph	f s x j w p h
smvpqfx	s m v p q f x
psrdqhk	p s r d q h k
xndbkr	x n d b k r
sdpbj	s d p b j
nhsf	n h s f
fgzmq	f g z m q
hvw	h v w
hsmcb	h s m c b
pwgndhzj	p w g n d h z j
cvkwzxqn	c v k w z x q n
cgmdhpj	c g m d h p j
wrgxzv	w r g x z v
fkdsznr	f k d s z n r
cbzxdvm	c b z x d v m
knmxz	k n m x z
lfkmqvr	l f k m q v r
rvjm	r v j m
gjn	g j n
ntzb	n t z b
pdkn	p d k n
tbjgpfn	t b j g p f n
rcdm	r c d m
nkpzjv	n k p z j v
kgcpsn	k g c p s n
jmxzcgrnh	j m x z c g r n h
dlgkp	d l g k p
fcnzb	f c n z b
zgnq	z g n q
mxvnbw	m x v n b w
cpfjs	c p f j s
bpqdrh	b p q d r h
psm	p s m
rklbqj	r k l b q j
nkspdlb	n k s p d l b
flqs	f l q s
xsrf	x s r f
mzhvw	m z h v w
hxbcgvdl	h x b c g v d l
hqj	h q j
mgkqcp	m g k q c p
gbsvd	g b s v d
nmws	n m w s
vdxjhmp	v d x j h m p
vfl	v f l
fpcjghzsqx	f p c j g h z s q x
shgmfjlw	s h g m f j l w
dqhv	d q h v
rqmkj	r q m k j
rxfv	r x f v
cptxbvl	c p t x b v l
zfth	z f t h
fcpw	f c p w
zgmhsj	z g m h s j
gln	g l n
jqslvwfmkh	j q s l v w f m k h
cfzqdh	c f z q d h
cdvqztr	c d v q z t r
lxdnjs	l x d n j s
shq	s h q
gncljb	g n c l j b
xrmh	x r m h
njbdhlvm	n j b d h l v m
gckz	g c k z
vdft	v d f t
rjxkb	r j x k b
sxqlvdc	s x q l v d c
mzsfd	m z s f d
vrxklmpd	v r x k l m p d
kjtrfvz	k j t r f v z
mxln	m x l n
tchsnvd	t c h s n v d
dtxmwfvh	d t x m w f v h
lszpjr	l s z p j r
tbrwpkh	t b r w p k h
rkvmqh	r k v m q h
sqnxbr	s q n x b r
hdfbn	h d f b n
qtxpjb	q t x p j b
jrqzx	j r q z x
zmrlscqt	z m r l s c q t
fnl	f n l
rhmskbfv	r h m s k b f v
nbgk	n b g k
lzmkn	l z m k n
gfbcrwhm	g f b c r w h m
pdn	p d n
hrtwmbln	h r t w m b l n
crkghp	c r k g h p
lzr	l z r
jphzqsvlnmr	j p h z q s v l n m r
ptwf	p t w f
nhscr	n h s c r
ntlxbd	n t l x b d
kfwqd	k f w q d
tschfkvpd	t s c h f k v p d
gtwkml	g t w k m l
wrd	w r d
wxsjdzlcg	w x s j d z l c g
mrqd	m r q d
lgpjw	l g p j w
mghkr	m g h k r
nghqzbk	n g h q z b k
tvrh	t v r h
cbzdtl	c b z d t l
dmvc	d m v c
tkl	t k l
vdhcng	v d h c n g
cqsjn	c q s j n
mvdbkzstgqj	m v d b k z s t g q j
bwxj	b w x j
pdsjb	p d s j b
mcldbzrh	m c l d b z r h
jzc	j z c
mcnptdjl	m c n p t d j l
klhcp	k l h c p
bsjr	b s j r
qslmrdb	q s l m r d b
rmvgsf	r m v g s f
gmnqr	g m n q r
fphzg	f p h z g
kncrq	k n c r q
qgzbrhxc	q g z b r h x c
drqxmg	d r q x m g
brgmq	b r g m q
mnjbvgc	m n j b v g c
rhlfkpctn	r h l f k p c t n
nzrfxb	n z r f x b
rjbfgch	r j b f g c h
sxqkvtp	s x q k v t p
nxcsvrlt	n x c s v r l t
jft	j f t
ghkcds	g h k c d s
xkftj	x k f t j
krtblg	k r t b l g
wkps	w k p s
ztn	z t n
gwnd	g w n d
wmrdb	w m r d b
xfblnvm	x f b l n v m
xcfznltrg	x c f z n l t r g
mgxnh	m g x n h
ctnvzxr	c t n v z x r
tfx	t f x
qckplrmh	q c k p l r m h
pfdgsk	p f d g s k
pntzq	p n t z q
hrlkd	h r l k d
gbjvct	g b j v c t
thcz	t h c z
lcdkfv	l c d k f v
qnwr	q n w r
swr	s w r
gvxsjbk	g v x s j b k
lqb	l q b
mwrp	m w r p
hltcxq	h l t c x q
mxhklqfrnvj	m x h k l q f r n v j
mdtpsc	m d t p s c
kmhqcb	k m h q c b
nxsmp	n x s m p
wsdmrxhn	w s d m r x h n
rgxtz	r g x t z
gzxh	g z x h
pvfkhtr	p v f k h t r
wlpnbjqczr	w l p n b j q c z r
vrmzc	v r m z c
dhcptf	d h c p t f
qhz	q h z
gbrj	g b r j
fbwmr	f b w m r
jlzrdvx	j l z r d v x
pbqvwjhgx	p b q v w j h g x
tjpxr	t j p x r
vbd	v b d
qcpr	q c p r
pnkqw	p n k q w
vrmpdl	v r m p d l
ksf	k s f
fpjwzvhgks	f p j w z v h g k s
mxzk	m x z k
qhlbgfz	q h l b g f z
lqvkf	l q v k f
nqxmdzvscr	n q x m d z v s c r
mrfnvhtd	m r f n v h t d
fpwldg	f p w l d g
bnjmzcrgw	b n j m z c r g w
mrpk	m r p k
fmwd	f m w d
hpvtmxdn	h p v t m x d n
dtjlkrc	d t j l k r c
fvwkx	f v w k x
swqz	s w q z
hwnbt	h w n b t
xvr	x v r
tkx	t k x
sxmc	s x m c
mwtqv	m w t q v
hvnzcl	h v n z c l
djqmzs	d j q m z s
fghdb	f g h d b
slxpq	s l x p q
wmxrpcts	w m x r p c t s
hdrmgf	h d r m g f
wcbpl	w c b p l
vzhxcwbm	v z h x c w b m
qfmzsp	q f m z s p
zjlrdx	z j l r d x
nwrpt	n w r p t
shvbw	s h v b w
pkwhb	p k w h b
mkh	m k h
tsp	t s p
ghvsd	g h v s d
lgpw	l g p w
dmvxfb	d m v x f b
tfdc	t f d c
dfvqz	d f v q z
mvsrb	m v s r b
kxbvd	k x b v d
jltwhkn	j l t w h k n
cgsmnjtb	c g s m n j t b
gzpxfwn	g z p x f w n
wzh	w z h
ctzbs	c t z b s
vsngpm	v s n g p m
cvrlqjh	c v r l q j h
nljxv	n l j x v
tzncwmdf	t z n c w m d f
tzsbc	t z s b c
vnlqbwmfpzxh	v n l q b w m f p z x h
cft	c f t
dsnxl	d s n x l
frgkz	f r g k z
hfnt	h f n t
txzgs	t x z g s
fklxsj	f k l x s j
zrtpb	z r t p b
ngcmjxpzb	n g c m j x p z b
fspc	f s p c
qkm	q k m
qrcbh	q r c b h
pqdskfzt	p q d s k f z t
spldzf	s p l d z f
rlqjctpgdf	r l q j c t p g d f
xlkbsgp	x l k b s g p
lkm	l k m
bdnlkh	b d n l k h
fldtnspx	f l d t n s p x
qxgwb	q x g w b
sgmt	s g m t
kqvtj	k q v t j
xtsrdgpqmk	x t s r d g p q m k
zlcj	z l c j
tknvr	t k n v r
klwcbsr	k l w c b s r
hgzqjb	h g z q j b
lxznpkj	l x z n p k j
djwqfsm	d j w q f s m
ljswr	l j s w r
mtkqnsfhr	m t k q n s f h r
vqwnpdjxk	v q w n p d j x k
qvkzth	q v k z t h
vmfd	v m f d
rmqnjfhv	r m q n j f h v
vbfrgh	v b f r g h
wcb	w c b
lxqmbdkt	l x q m b d k t
lfr	l f r
fswcmkn	f s w c m k n
pmtv	p m t v
knmh	k n m h
hmjtfdk	h m j t f d k
gpv	g p v
rkmhgvwjl	r k m h g v w j l
xfbvhcp	x f b v h c p
cfjgxps	c f j g x p s
htn	h t n
jhqgdsb	j h q g d s b
hxtnfzd	h x t n f z d
rvtkpd	r v t k p d
wnqdlrfgs	w n q d l r f g s
hswtgq	h s w t g q
bxc	b x c
pjcnzkhg	p j c n z k h g
zwgf	z w g f
fvsdn	f v s d n
tkxbs	t k x b s
pkdb	p k d b
tmdbz	t m d b z
phqt	p h q t
wsltvqm	w s l t v q m
tbhr	t b h r
dgcnkxjm	d g c n k x j m
nghcl	n g h c l
brskpwmfg	b r s k p w m f g
djsnqbmfcz	d j s n q b m f c z
kbcfnhx	k b c f n h x
ckts	c k t s
nfpldj	n f p l d j
xvtzmrncdqfkl	x v t z m r n c d q f k l
grxjfzhmp	g r x j f z h m p
cvlmrq	c v l m r q
qgpjs	q g p j s
knqrjcg	k n q r j c g
zwmhqc	z w m h q c
fmz	f m z
fjgvrl	f j g v r l
vlwftbs	v l w f t b s
kbwp	k b w p
qdh	q d h
kdnbm	k d n b m
dpnwhjb	d p n w h j b
mzgf	m z g f
lzgxtrqf	l z g x t r q f
gxkmvhldw	g x k m v h l d w
gtqn	g t q n
thfvrpn	t h f v r p n
glnspcz	g l n s p c z
ltwckvjfhmd	l t w c k v j f h m d
jbqw	j b q w
zkmcjn	z k m c j n
vmnbcwjl	v m n b c w j l
wvplb	w v p l b
trz	t r z
hgtbnzq	h g t b n z q
tqprf	t q p r f
zqgrdbn	z q g r d b n
lzjmf	l z j m f
tkxcqw	t k x c q w
zdvfx	z d v f x
vgmpxlht	v g m p x l h t
kgnrhbm	k g n r h b m
sthp	s t h p
rcv	r c v
lztvjx	l z t v j x
rnc	r n c
nwcbdtlrzv	n w c b d t l r z v
gkmrsf	g k m r s f
kmsqc	k m s q c
mvjg	m v j g
lpq	l p q
jxt	j x t
fbrndvp	f b r n d v p
jxszcpq	j x s z c p q
pqmghzc	p q m g h z c
zgrdktbmh	z g r d k t b m h
lzcgb	l z c g b
gbhspdfx	g b h s p d f x
lbdmt	l b d m t
kptwq	k p t w q
hrwt	h r w t
wtkvczr	w t k v c z r
dtvjrfz	d t v j r f z
qvm	q v m
pfwvrnxqtlh	p f w v r n x q t l h
pxzl	p x z l
vmdn	v m d n
pmthrb	p m t h r b
gtznvbjp	g t z n v b j p
sjpgdzvb	s j p g d z v b
gdvn	g d v n
qkwlxpdf	q k w l x p d f
jfgtqhm	j f g t q h m
zst	z s t
mcgz	m c g z
qbhzlsp	q b h z l s p
szvm	s z v m
lgnmkbxsc	l g n m k b x s c
gmdslc	g m d s l c
twnqdk	t w n q d k
rzc	r z c
mdgnfl	m d g n f l
tqwxvk	t q w x v k
kpsbgm	k p s b g m
fwhzjm	f w h z j m
zdxkshwlf	z d x k s h w l f
bgpflnqdrm	b g p f l n q d r m
pvfbmkrzclq	p v f b m k r z c l q
bsqtnpj	b s q t n p j
xcqpgfnh	x c q p g f n h
nvtcjdxb	n v t c j d x b
hpcjk	h p c j k
qsjpt	q s j p t
kpr	k p r
lwqmf	l w q m f
csglxrmwz	c s g l x r m w z
dfqghn	d f q g h n
fvlmn	f v l m n
jsb	j s b
sdxw	s d x w
wzlstfcxh	w z l s t f c x h
qsjnm	q s j n m
bntxv	b n t x v
sjbcl	s j b c l
tbsgdhvz	t b s g d h v z
fxjdkhg	f x j d k h g
jpgztlvdsbnm	j p g z t l v d s b n m
gnlmtc	g n l m t c
dhj	d h j
bvktncwp	b v k t n c w p
bmcz	b m c z
nfjrx	n f j r x
prbkxlfj	p r b k x l f j
cvmt	c v m t
lsg	l s g
vmrtdws	v m r t d w s
fmjr	f m j r
pzhdjbv	p z h d j b v
whpgvfd	w h p g v f d
hkflj	h k f l j
hvflp	h v f l p
gxwpr	g x w p r
bvchtkp	b v c h t k p
scjdv	s c j d v
hprlqz	h p r l q z
vrdftqbjmwzx	v r d f t q b j m w z x
lxc	l x c
wxqkp	w x q k p
fdhg	f d h g
vmzf	v m z f
rmqzbkx	r m q z b k x
glkm	g l k m
ljdqznr	l j d q z n r
qvbx	q v b x
lvdn	l v d n
csjbd	c s j b d
rfxc	r f x c
tvwml	t v w m l
fkrxdb	f k r x d b
mtgwsrq	m t g w s r q
vrgxnf	v r g x n f
cvk	c v k
rklgqvsnpm	r k l g q v s n p m
rgxw	r g x w
hqzm	h q z m
jvzh	j v z h
ghzsn	g h z s n
gxfcrzk	g x f c r z k
bpsn	b p s n
wclbshdj	w c l b s h d j
gsdmqc	g s d m q c
mjclpbg	m j c l p b g
fxqw	f x q w
dglsqxmw	d g l s q x m w
bptz	b p t z
stnw	s t n w
wjqfngv	w j q f n g v
xkhlfw	x k h l f w
cgkr	c g k r
jxmp	j x m p
xvm	x v m
vjcqdxgz	v j c q d x g z
nrgwpq	n r g w p q
nlcwbrhk	n l c w b r h k
jzxbhk	j z x b h k
lvghr	l v g h r
znvlgfjwp	z n v l g f j w p
gsvnch	g s v n c h
pwscrmf	p w s c r m f
zvrskf	z v r s k f
xhrlw	x h r l w
pbzkltsw	p b z k l t s w
wlvg	w l v g
qmbzhd	q m b z h d
fhxt	f h x t
czwh	c z w h
kvqtjb	k v q t j b
hfgwjpctqm	h f g w j p c t q m
kjcrl	k j c r l
ghnqfds	g h n q f d s
ztflh	z t f l h
ksztx	k s z t x
fxv	f x v
jbzwntsgdx	j b z w n t s g d x
hptzvfbrwn	h p t z v f b r w n
jhvmn	j h v m n
shdrlb	s h d r l b
qgkw	q g k w
hgxjc	h g x j c
zrsbgchvfjd	z r s b g c h v f j d
xscgmbfv	x s c g m b f v
wkcndq	w k c n d q
zhtjfgmkc	z h t j f g m k c
hxbsjdcgkq	h x b s j d c g k q
ngtsjbhq	n g t s j b h q
wmqnrh	w m q n r h
tdbsfmncl	t d b s f m n c l
sxnfrtjl	s x n f r t j l
fnqdp	f n q d p
fwhmpd	f w h m p d
rtm	r t m
rvgw	r v g w
ntfhzmxqp	n t f h z m x q p
dfvgmknbqtxj	d f v g m k n b q t x j
fnhw	f n h w
mdpctlxzrg	m d p c t l x z r g
wxsfm	w x s f m
szdv	s z d v
jblpdsk	j b l p d s k
nxbkrl	n x b k r l
dbwjlqz	d b w j l q z
gvrztld	g v r z t l d
bxmhs	b x m h s
zgkfxmlscq	z g k f x m l s c q
hpfslkwc	h p f s l k w c
xsnb	x s n b
mhcp	m h c p
mbkfcl	m b k f c l
msbdfnc	m s b d f n c
mlkhb	m l k h b
nxzptwbc	n x z p t w b c
jdprl	j d p r l
dvlh	d v l h
tmplwqnv	t m p l w q n v
wntjvq	w n t j v q
hwlctsm	h w l c t s m
wfvdh	w f v d h
gcrh	g c r h
vcwjs	v c w j s
gdkn	g d k n
wxvdrgjlmht	w x v d r g j l m h t
mjsnbdt	m j s n b d t
sfgrbh	s f g r b h
vncpr	v n c p r
gcbm	g c b m
jqnfpzkl	j q n f p z k l
vdpgqjf	v d p g q j f
mhxt	m h x t
pbdnrs	p b d n r s
rhdp	r h d p
rvfgh	r v f g h
rxkpjl	r x k p j l
vhdnjktcz	v h d n j k t c z
nlvxw	n l v x w
wqvbk	w q v b k
mgxn	m g x n
xmjcz	x m j c z
kcwxdnvzl	k c w x d n v z l
vgtlnx	v g t l n x
zpkhcv	z p k h c v
ztpbfc	z t p b f c
hbtmkjwv	h b t m k j w v
nfhslxdvp	n f h s l x d v p
xlgsfd	x l g s f d
jdscnrpl	j d s c n r p l
lzgsbjpm	l z g s b j p m
jgncfwbz	j g n c f w b z
vsrnjc	v s r n j c
wndhvjqzc	w n d h v j q z c
cxwk	c x w k
nhbpjwz	n h b p j w z
kqxm	k q x m
bzqxrd	b z q x r d
vmdkcwlb	v m d k c w l b
pcjbm	p c j b m
kwmjl	k w m j l
bwkzd	b w k z d
gcxqldh	g c x q l d h
rxglw	r x g l w
rdhl	r d h l
bgwpvmzkj	b g w p v m z k j
xdct	x d c t
gpdz	g p d z
xhrfb	x h r f b
qwkzvngj	q w k z v n g j
rhwsbp	r h w s b p
pstjdnc	p s t j d n c
dbjhkgl	d b j h k g l
wsqjmlhv	w s q j m l h v
tgdmlzbxv	t g d m l z b x v
qhm	q h m
npx	n p x
mswzhn	m s w z h n
rsbztwqgn	r s b z t w q g n
rbfqgskx	r b f q g s k x
rxhbjpdwn	r x h b j p d w n
tpvrchk	t p v r c h k
cbgh	c b g h
xjgh	x j g h
qwtvzbsxcmpnd	q w t v z b s x c m p n d
rtwdpml	r t w d p m l
cwjnx	c w j n x
swfhzb	s w f h z b
nlhrgtq	n l h r g t q
cvwmt	c v w m t
gdphf	g d p h f
fhrsq	f h r s q
dvnzq	d v n z q
vzmbt	v z m b t
dcjf	d c j f
dhlmqg	d h l m q g
wzcgph	w z c g p h
jxzrdqhksvmb	j x z r d q h k s v m b
phjrfk	p h j r f k
lbmjpnc	l b m j p n c
pzls	p z l s
jdws	j d w s
tvfdxr	t v f d x r
hbrfm	h b r f m
qgpjbd	q g p j b d
bhgp	b h g p
rxjkwv	r x j k w v
htwzxsjv	h t w z x s j v
bndsmlkf	b n d s m l k f
ljpn	l j p n
kbvfqgxt	k b v f q g x t
xwjv	x w j v
fzpl	f z p l
lvsqdkw	l v s q d k w
kpnbcq	k p n b c q
msrzq	m s r z q
dgtq	d g t q
wgzpknbrsq	w g z p k n b r s q
hlcwdzb	h l c w d z b
wsk	w s k
qklzf	q k l z f
kqlpdxtzgw	k q l p d x t z g w
qhpmlgj	q h p m l g j
tsczkmqw	t s c z k m q w
dfln	d f l n
jnwxdbg	j n w x d b g
qjbkpw	q j b k p w
hstk	h s t k
njqsh	n j q s h
mztpxgvh	m z t p x g v h
sjzk	s j z k
gmqjrzsn	g m q j r z s n
xbhskmw	x b h s k m w
vcmqfktghbnzlw	v c m q f k t g h b n z l w
rln	r l n
xtwfqjmpb	x t w f q j m p b
rhnmv	r h n m v
fbvtj	f b v t j
dcshgv	d c s h g v
sjw	s j w
sxgvq	s x g v q
lhzjvp	l h z j v p
xhwvmcjt	x h w v m c j t
fhnjq	f h n j q
dlfh	d l f h
smkgxvjpt	s m k g x v j p t
cqtnx	c q t n x
cqlrbsgtvx	c q l r b s g t v x
wnpzvrxk	w n p z v r x k
fgwsdb	f g w s d b
vgbdfnqt	v g b d f n q t
bnclpw	b n c l p w
pqbntv	p q b n t v
jgbqv	j g b q v
ncjfmqt	n c j f m q t
zdgl	z d g l
dtzmcqph	d t z m c q p h
fgvsmnt	f g v s m n t
gpvlfrsjk	g p v l f r s j k
zcxsnwjvd	z c x s n w j v d
pnwfrsm	p n w f r s m
